symbol,company,peak_date,raw_close,adjusted_close,drawdown_12m,report_date,available_date,eps_used,roe_used,pe,pr,valid
NYSE:DECK,Deckers,2016-07-01,11.0017,11.0017,0.2094,2016-03-31,2016-05-30,0.6167,12.8397,17.8405,1.3895,True
NYSE:DECK,Deckers,2020-01-01,31.8183,31.8183,0.2981,2019-03-31,2019-05-30,1.4733,26.6183,21.5962,0.8113,True
NYSE:DECK,Deckers,2021-08-01,69.7417,69.7417,0.3898,2021-03-31,2021-05-30,2.245,29.6071,31.0653,1.0493,True
NYSE:DECK,Deckers,2024-12-01,203.09,203.09,0.5987,2024-03-31,2024-05-30,4.86,39.2215,41.7881,1.0654,True
NASDAQ:PDD,PDD,2019-02-01,29.94,29.94,0.3514,2017-12-31,2018-04-30,-0.1675,-67.2613,,,False
NASDAQ:PDD,PDD,2020-12-01,177.67,177.67,0.6719,2019-12-31,2020-04-29,-0.9261,-32.0575,,,False
NASDAQ:PDD,PDD,2024-05-01,149.78,149.78,0.3583,2023-12-31,2024-04-29,5.6902,39.3601,26.3225,0.6688,True
NASDAQ:PDD,PDD,2025-09-01,132.17,132.17,0.4229,2024-12-31,2025-04-30,10.6751,44.924,12.3812,0.2756,True
SZSE:002847,盐津铺子,2017-03-31,24.2381,21.0161,0.541,2016-12-31,2017-03-15,0.92,30.4,26.3458,0.8666,True
SZSE:002847,盐津铺子,2020-07-31,71.4238,63.4892,0.6434,2019-12-31,2020-03-07,1.03,18.21,69.3435,3.808,True
SZSE:002847,盐津铺子,2023-02-28,64.2048,58.4237,0.2993,2021-12-31,2022-03-31,1.21,18.14,53.0618,2.9251,True
SZSE:002847,盐津铺子,2025-03-31,89.8,86.2624,0.3339,2023-12-31,2024-03-27,1.88,38.92,47.766,1.2273,True
SSE:605499,东鹏饮料,2021-05-31,148.4024,136.4,0.4979,2020-12-31,2021-05-07,2.2557,45.82,65.7899,1.4358,True
SSE:605499,东鹏饮料,2023-01-31,121.284,113.5681,0.2263,2021-12-31,2022-02-28,3.112,36.48,38.973,1.0683,True
SSE:605499,东鹏饮料,2025-04-30,246.1538,240.833,0.4086,2024-12-31,2025-03-08,6.3974,46.93,38.4772,0.8199,True
NASDAQ:ADBE,Adobe,2021-11-01,669.85,669.85,0.5892,2020-11-27,2021-01-16,10.83,44.2128,61.8513,1.3989,True
NASDAQ:ADBE,Adobe,2024-01-01,617.78,617.78,0.2919,2022-12-02,2023-01-21,10.1,32.9728,61.1663,1.8551,True
