序号,代码,名称,研报数,机构投资评级(近六个月)-买入,机构投资评级(近六个月)-增持,机构投资评级(近六个月)-中性,机构投资评级(近六个月)-减持,机构投资评级(近六个月)-卖出,2025预测每股收益,2026预测每股收益,2027预测每股收益,2028预测每股收益
1,600519,贵州茅台,45,36.0,9.0,0.0,0.0,0.0,65.851754826108,67.656739130435,71.522173913044,75.208837209302
2,605499,东鹏饮料,42,28.0,14.0,0.0,0.0,0.0,6.01371192761,7.630095238095,8.807952380952,9.94715
3,603345,安井食品,40,32.0,8.0,0.0,0.0,0.0,4.078254658694,5.193225,5.96515,6.643921052632
4,300750,宁德时代,40,33.0,7.0,0.0,0.0,0.0,15.605504033485,20.764076923077,25.874641025641,31.044894736842
5,603288,海天味业,36,24.0,12.0,0.0,0.0,0.0,1.202941549966,1.330055555556,1.471666666667,1.614714285714
6,600600,青岛啤酒,36,24.0,12.0,0.0,0.0,0.0,3.363229399059,3.482777777778,3.663888888889,3.851142857143
7,603605,珀莱雅,34,24.0,10.0,0.0,0.0,0.0,3.782429320896,4.434617647059,4.533264705882,4.977470588235
8,603259,药明康德,34,30.0,4.0,0.0,0.0,0.0,6.389088557263,7.347212121212,8.955121212121,10.65703125
9,600989,宝丰能源,34,29.0,5.0,0.0,0.0,0.0,1.547761941272,2.245117647059,2.371382352941,2.512242424242
10,600809,山西汾酒,34,30.0,4.0,0.0,0.0,0.0,10.038269251186,9.649382352941,10.316970588235,11.279454545455
11,600887,伊利股份,33,26.0,7.0,0.0,0.0,0.0,1.828380563048,1.801,2.085909090909,2.24884375
12,002594,比亚迪,33,25.0,8.0,0.0,0.0,0.0,3.577746535319,4.467757575758,5.679484848485,6.76090625
13,002847,盐津铺子,32,28.0,4.0,0.0,0.0,0.0,2.769979264802,3.17603125,3.7914375,4.437483870968
14,300979,华利集团,32,25.0,7.0,0.0,0.0,0.0,2.747789410557,2.29684375,2.7646875,3.116
15,603369,今世缘,32,24.0,8.0,0.0,0.0,0.0,2.088298515017,2.082875,2.21675,2.402806451613
16,002648,卫星化学,32,28.0,4.0,0.0,0.0,0.0,1.576505084677,3.0125,3.2203125,3.518387096774
17,002946,新乳业,32,22.0,10.0,0.0,0.0,0.0,0.849496184407,1.0096875,1.1771875,1.33935483871
18,600176,中国巨石,31,21.0,10.0,0.0,0.0,0.0,0.820721659518,1.765516129032,2.484935483871,2.776833333333
19,601888,中国中免,31,22.0,8.0,1.0,0.0,0.0,1.725952153554,2.33,2.734483870968,3.131103448276
20,603919,金徽酒,31,17.0,14.0,0.0,0.0,0.0,0.698629382774,0.609032258065,0.787419354839,0.903793103448
21,000729,燕京啤酒,31,20.0,11.0,0.0,0.0,0.0,0.595740163767,0.723548387097,0.832580645161,0.928
22,688111,金山办公,31,23.0,8.0,0.0,0.0,0.0,3.957792144122,6.016774193548,5.717096774194,6.867666666667
23,000333,美的集团,31,25.0,6.0,0.0,0.0,0.0,5.760463243363,6.183741935484,6.692419354839,7.225766666667
24,002714,牧原股份,30,21.0,9.0,0.0,0.0,0.0,2.682643616545,0.226966666667,4.5922,4.314965517241
25,002624,完美世界,30,24.0,6.0,0.0,0.0,0.0,0.376737588825,0.775333333333,1.070666666667,1.153703703704
26,600426,华鲁恒升,30,27.0,3.0,0.0,0.0,0.0,1.205659336195,1.96,2.244733333333,2.512379310345
27,002568,百润股份,30,15.0,15.0,0.0,0.0,0.0,0.611953015526,0.730129032258,0.832741935484,0.943833333333
28,000568,泸州老窖,30,23.0,7.0,0.0,0.0,0.0,7.35831453966,5.7362,6.1214,6.687724137931
29,600132,重庆啤酒,30,15.0,15.0,0.0,0.0,0.0,2.543327145286,2.528333333333,2.627586206897,2.744642857143
30,300308,中际旭创,29,25.0,4.0,0.0,0.0,0.0,9.166453796306,28.225964285714,50.064821428571,71.079107142857
31,603444,吉比特,29,21.0,8.0,0.0,0.0,0.0,24.897815995344,27.167586206897,29.815172413793,32.158148148148
32,600486,扬农化工,29,23.0,6.0,0.0,0.0,0.0,3.182171834354,3.825034482759,4.475068965517,5.083964285714
33,600060,海信视像,29,18.0,11.0,0.0,0.0,0.0,1.880508491968,2.136551724138,2.393103448276,2.650464285714
34,002142,宁波银行,28,20.0,8.0,0.0,0.0,0.0,4.441977239949,4.87,5.44962962963,6.133846153846
35,688012,中微公司,28,22.0,6.0,0.0,0.0,0.0,2.204405552583,4.78825,6.044571428571,7.708692307692
36,600298,安琪酵母,28,23.0,5.0,0.0,0.0,0.0,1.779651048661,2.109428571429,2.497714285714,2.849888888889
37,601318,中国平安,28,24.0,4.0,0.0,0.0,0.0,7.443155770211,8.2904,9.0352,9.937916666667
38,600031,三一重工,28,23.0,5.0,0.0,0.0,0.0,0.914415763212,1.170851851852,1.461407407407,1.761461538462
39,002891,中宠股份,28,18.0,10.0,0.0,0.0,0.0,1.134284561843,1.179172413793,1.592689655172,2.028703703704
40,600872,中炬高新,28,22.0,6.0,0.0,0.0,0.0,0.693620785423,0.901310344828,1.037724137931,1.177821428571
41,601898,中煤能源,28,22.0,6.0,0.0,0.0,0.0,1.34882200871,1.496428571429,1.5875,1.677777777778
42,002345,潮宏基,28,22.0,6.0,0.0,0.0,0.0,0.559375206448,0.831851851852,0.988814814815,1.163076923077
43,000157,中联重科,28,24.0,4.0,0.0,0.0,0.0,0.561769928112,0.683259259259,0.823111111111,0.99028
44,002821,凯莱英,28,20.0,8.0,0.0,0.0,0.0,3.140239779842,3.900379310345,4.985586206897,6.311214285714
