name,description,close,market_cap_basic,price_earnings_ttm,price_book_fq,return_on_equity,return_on_assets,free_cash_flow_ttm,cash_n_short_term_inv,total_debt,total_revenue_yoy_growth_ttm,net_income_yoy_growth_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,average_volume_30d_calc,sector,industry,symbol,market,traded_value_30d,quick_pr_roe,implied_roe_from_pe_pb,quick_pr_pe_pb,pr_path_gap_percent,model,fcf_positive,rank_penalty,screen_rank,stage1_tier,history_type,history_years,history_status,historical_neutral_roe,historical_neutral_roa,historical_bear_roe,historical_bear_roa,bear_anchor_source,historical_neutral_pr,historical_bear_pr,historical_pr_path,weak_years,stage2_rank,stage2_tier
GAP,"Gap, Inc. (The)",23.48,8452305414.0,7.014818355640536,2.0859225987681684,33.7757313109426,9.97520198384129,957000000.0,,5720000000.0,1.054991428194646,40.26996625421822,43.84185646755479,2.89608177172061,7155860.433333334,Retail Trade,Apparel/Footwear Retail,NYSE:GAP,US,168019602.97466668,0.2076881264556924,29.73594600765253,0.2359036552539904,11.960615348634274,stable_or_general,True,0.0,0.2076881264556924,priority,stable,3,usable,24.427210701008335,6.34657473415,22.2356274527625,5.838934018874999,weak_history,0.2871723031132232,0.3154765194075525,pe,"2024,2026",0.3027396220751043,priority_refine
DECK,Deckers Outdoor Corporation,87.76,11951319820.0,12.45387977521712,5.213138105984239,42.5584290402442,26.3324914256712,1117808000.0,,472334000.0,7.484361821074422,2.543375613462683,8.21585429527934,0.0,2556388.4333333327,Consumer Non-Durables,Apparel/Footwear,NYSE:DECK,US,224348648.9093333,0.2926301570821717,41.85955059850699,0.297515849959013,1.642162216740517,stable_or_general,True,0.0,0.2926301570821717,priority,stable,3,usable,40.769394859258334,28.03486957014167,40.2452085601375,27.6455738545625,weak_history,0.3054712933122912,0.3094499996591537,pe,"2024,2026",0.30765958180306563,priority_refine
601717,ZCZL Industrial Technology Group Company Limited Class A,15.05,25357158551.432533,6.166263776785349,1.086608863407129,18.6112789573059,8.59446747853128,1011940340.0,,11037993010.4,11.69459466263261,9.140089976672494,10.659231048240846,8.30564784053156,19141496.833333332,Producer Manufacturing,Auto Parts: OEM,SSE:601717,A,288079527.34166664,0.3313186477367139,17.621835567559994,0.3499217634363137,5.31636429723974,cyclical,True,0.0,0.3313186477367139,priority,stable,3,usable,18.2675,8.367766675058334,17.830000000000002,8.114900789814286,weak_history,0.33755378550898313,0.3458364428931771,pe,"2023,2024",0.34210924707028983,priority_refine
2589,"Auntea Jenny (Shanghai) Industrial Co., Ltd. Class H",82.55,8684509487.0,12.533782757887703,3.485931700230988,31.980933368923996,21.6384208443536,862658980.0,,169320508.341439,,,,2.29422895215021,747387.7333333333,Consumer Services,Restaurants,HKEX:2589,HK,61696857.38666666,0.3919142263079423,27.81228753974722,0.4506563057776305,13.034784760933428,stable_or_general,True,0.0,0.3919142263079423,priority,stable,3,usable,40.390840947941584,22.920653794529834,31.980933368923996,21.6384208443536,current_ttm,0.31031249817358547,0.3919142263079423,pe,"2024,2025",0.35519344864748176,priority_refine
LULU,lululemon athletica inc.,120.81,14336516385.999998,9.755408231655617,2.864630386565047,32.0270239581901,18.2891926216691,1279952000.0,,2136008000.0,4.220022614174371,-19.256242646314487,-15.491910113893034,0.0,2706382.2,Consumer Non-Durables,Apparel/Footwear,NASDAQ:LULU,US,326958033.582,0.3045992735507015,29.36453625046179,0.3322173436844998,8.313253554885636,stable_or_general,True,0.1,0.4045992735507014,priority,stable,3,usable,38.81220052205833,22.5299869525,32.0270239581901,18.2891926216691,current_ttm,0.2513490114045782,0.3045992735507015,pe,"2024,2026",0.36063665558494606,priority_refine
002668,"Guangdong TCL Smart Home Appliances Co., Ltd. Class A",9.35,10136442473.0,10.171888598781548,2.6478400987771793,28.90820095028,6.05686233298588,1479687900.0,,5129086626.04,0.6009284337096154,-9.280770751900558,-9.277536517962895,2.17957219251337,25258601.033333216,Consumer Durables,Electronics/Appliances,SZSE:002668,A,236167919.66166556,0.3518686139022091,26.030958489796618,0.3907612008512339,9.953031893724662,stable_or_general,True,0.1,0.4518686139022091,priority,stable,3,usable,47.876666666666665,13.933767130683336,28.90820095028,6.05686233298588,current_ttm,0.21246025061856608,0.3518686139022091,pe,"2024,2025",0.3691348504245698,priority_refine
9980,Eastroc Beverage (Group) Co. Ltd. Class H,112.0,95274206862.0,14.795830746264713,3.6179122837166817,34.314663942266,16.5577596000554,5464255960.0,,7002582197.79788,25.278432029610524,28.431947933165368,,1.96006514845911,673191.4333333331,Consumer Non-Durables,Beverages: Non-Alcoholic,HKEX:9980,HK,75397440.5333333,0.4311809893041213,24.452241619687644,0.605090975968105,28.741130436747863,stable_or_general,True,0.0,0.4311809893041213,priority,stable,3,usable,46.28977555989958,17.21776845688092,34.314663942266,16.5577596000554,current_ttm,0.3196349640347405,0.4311809893041213,pe,"2023,2024",0.38098527793289994,priority_refine
600961,"Zhuzhou Smelter Group Co., Ltd. Class A",28.02,30061896424.0,12.08331536504377,5.1296133567662565,53.679940778415,27.0892523869734,2803095330.0,,1335391190.83,23.464480803310217,148.52706859556076,148.54233654876742,0.0,56002935.1,Non-Energy Minerals,Other Metals/Minerals,SSE:600961,A,1569202241.502,0.2250992678051265,42.45203573520797,0.2846345329682828,20.9163886554097,cyclical,True,0.1,0.3250992678051265,priority,stable,3,usable,32.260000000000005,9.721330167258333,30.026666666666664,10.618710431977778,weak_history,0.3745603026981949,0.4024194726368929,pe,"2024,2025",0.3898828461644789,priority_refine
002847,Yankershop Food Co. Ltd. Class A,45.42,12027058330.0,15.429037298729536,5.842897830332127,37.44584590495,19.198646413515,438642260.0,,1214645263.37,1.837936822751901,15.536413454631331,4.3013038548752816,3.08234258036107,4460636.633333333,Consumer Non-Durables,Food: Major Diversified,SZSE:002847,A,202602115.886,0.4120360196400305,37.86949060530981,0.4074265867353963,1.131352998234214,stable_or_general,True,0.0,0.4120360196400305,priority,stable,3,usable,38.69166666666667,19.4514181043,37.44584590495,19.198646413515,current_ttm,0.39876900190556624,0.4120360196400306,pe,"2023,2025",0.40606586165952163,priority_refine
ECO,Okeanis Eco Tankers Corp.,66.86,2563998285.0000005,6.234672087580078,2.9749178738458624,61.5919910455297,29.4350134271386,44692060.0,,722493783.004812,105.24219735077509,498.5632077171379,413.8920835729346,7.47831289261143,527756.1666666666,Transportation,Marine Shipping,NYSE:ECO,US,35285777.30333333,0.1012253700805242,47.71570713032553,0.1306628878107447,22.52936409369626,cyclical,True,0.1,0.2012253700805242,priority,cyclical,3,short_history,27.19818680348333,10.7620197568,25.640939505720002,10.401941284000001,weak_history,0.40215648509105584,0.45248804867216635,pb,"2024,2025",0.4298388450606666,priority_refine
