name,description,close,market_cap_basic,price_earnings_ttm,price_book_fq,return_on_equity,return_on_assets,free_cash_flow_ttm,cash_n_short_term_inv,total_debt,total_revenue_yoy_growth_ttm,net_income_yoy_growth_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,average_volume_30d_calc,sector,industry,symbol,market,traded_value_30d,quick_pr_roe,implied_roe_from_pe_pb,quick_pr_pe_pb,market_pr_factor,market_normalized_quick_pr,pr_path_gap_percent,model,fcf_positive,extreme_roe_review_required,roe_reliability_precheck,rank_penalty,screen_rank,stage1_tier,history_type,cycle_phase_status,history_years,history_status,historical_neutral_roe,historical_neutral_roa,historical_bear_roe,historical_bear_roa,bear_anchor_source,historical_neutral_pr,historical_bear_pr,historical_pr_path,weak_years,market_normalized_neutral_pr,market_normalized_bear_pr,stage2_rank,stage2_tier
BYD,Boyd Gaming Corporation,77.95,5663489335.8593645,3.430973392900372,2.2792297694600756,93.3309604757425,27.440204853376,35064000.0,,3258284000.0,1.7489530067105017,221.90196470927935,249.9830550249553,0.976989330248104,819220.5666666667,Consumer Services,Casinos/Gaming,NYSE:BYD,US,63858243.17166667,0.0367613638112307,66.43099518569363,0.0516471773952779,1.0,0.0367613638112307,28.822124140724338,stable_or_general,True,True,review_high_roa_supports_follow_up,0.15,0.1867613638112308,priority,stable,not_applicable,3,usable,53.309191084633326,15.8040172688,35.9717169145,9.49037565665,weak_history,0.06435988472331874,0.0953797507373735,pe,"2023,2024",0.06435988472331874,0.0953797507373735,0.08142081103104887,priority_refine
ARCO,Arcos Dorados Holdings Inc.,8.23,1714753326.2278788,6.753097562976944,2.086158603819977,36.3838238691034,7.068094536745139,95342940.0,,2199575000.00002,10.767117810403992,97.29127444576788,97.29642221142949,3.15151515151515,1058360.9,Consumer Services,Restaurants,NYSE:ARCO,US,8710310.207,0.1856071419890412,30.89187716252011,0.2186043123067383,1.0,0.1856071419890412,15.094473649447728,stable_or_general,True,True,not_triggered,0.0,0.1856071419890412,priority,stable,not_applicable,3,usable,35.15656386603333,5.900383782866666,31.126413845,5.645515018699999,weak_history,0.19208639355968116,0.21695713475395206,pe,"2024,2025",0.19208639355968116,0.21695713475395206,0.20576530121653017,priority_refine
HD,"Home Depot, Inc. (The)",318.955,318218105251.39545,22.319529194424227,19.156111301297873,104.29587273660302,13.586206567255402,15099000000.0,,62567000000.0,2.497364498891272,-2.7479663681728073,-2.925073024930372,2.91130883138932,3685312.533333333,Retail Trade,Home Improvement Chains,NYSE:HD,US,1175448859.0693333,0.2140020367900053,85.8266818015291,0.2600535023133864,1.0,0.2140020367900053,17.708458111010263,stable_or_general,True,True,review_high_roa_supports_follow_up,0.1,0.3140020367900052,priority,stable,not_applicable,3,usable,564.3589906498333,17.006719853,104.29587273660302,13.586206567255402,current_ttm,0.03954846040234837,0.2140020367900053,pe,"2025,2026",0.03954846040234837,0.2140020367900053,0.21549792741555968,priority_refine
MUSA,Murphy USA Inc.,524.74,9644903691.57155,15.976689877329568,12.32260453748198,86.3941769316909,12.7163342673479,541500000.0,,2762400000.0,10.265769303825085,25.83078491335372,35.93962120459587,0.488225157955198,285068.93333333335,Retail Trade,Specialty Stores,NYSE:MUSA,US,149587072.07733333,0.184927855611864,77.12864574637189,0.2071433994817821,1.0,0.184927855611864,10.724717237187132,stable_or_general,True,True,review_high_roa_supports_follow_up,0.0,0.184927855611864,priority,stable,not_applicable,3,usable,66.76620235456666,11.543140055799999,62.261442889499996,10.73571607425,weak_history,0.23929307514727619,0.25660648285463905,pe,"2024,2025",0.23929307514727619,0.25660648285463905,0.24881544938632577,priority_refine
ATMU,Atmus Filtration Technologies Inc.,48.02,3918216745.959457,18.36539564768425,8.61509094105785,55.7904292569057,13.4257092032581,190400000.0,,1056400000.0,13.050464175196383,14.111405835543769,15.536211391454197,0.470219435736677,649249.1,Producer Manufacturing,Auto Parts: OEM,NYSE:ATMU,US,31176941.782,0.3291854157119788,46.909367520999496,0.3915080637031137,1.0,0.3291854157119788,15.918611586604548,cyclical,True,True,review_high_roa_supports_follow_up,0.0,0.3291854157119788,priority,stable,not_applicable,3,usable,84.27422032196667,16.709393157466664,55.7904292569057,13.4257092032581,current_ttm,0.21792424275798586,0.3291854157119788,pe,"2023,2025",0.21792424275798586,0.3291854157119788,0.279117887882682,priority_refine
LMT,Lockheed Martin Corporation,528.235,121911757907.46936,19.46807256001828,13.856529109112016,89.1646574953907,10.3643257500824,8729000000.0,,20538000000.0,7.196147207839207,49.54804947668887,52.76697088614012,2.56121587390937,1028835.2,Electronic Technology,Aerospace & Defense,NYSE:LMT,US,543466761.872,0.2183384438057721,71.17565987281797,0.2735214902791951,1.0,0.2183384438057721,20.175031372158468,technology_strict,True,True,review_high_roa_supports_follow_up,0.0,0.2183384438057721,priority,technology,not_applicable,5,usable,76.433649579584,10.480011668566,64.06798807976666,11.625928914883334,weak_history,0.2547055212867704,0.3038658328989497,pe,"2021,2022",0.2547055212867704,0.3038658328989497,0.28174369267346905,priority_refine
GAP,"Gap, Inc. (The)",22.11,7766582049.682796,6.60552103250478,1.964214167749753,33.7757313109426,9.97520198384129,957000000.0,,5720000000.0,1.054991428194646,40.26996625421822,43.84185646755479,3.04659498207885,7166184.333333333,Retail Trade,Apparel/Footwear Retail,NYSE:GAP,US,158444335.60999998,0.1955700373055945,29.73594600765253,0.2221392596961554,1.0,0.1955700373055945,11.960615348634263,stable_or_general,True,False,not_triggered,0.0,0.1955700373055945,priority,stable,not_applicable,3,usable,24.235175093666665,6.164869933766666,21.947574041750002,5.5663768183,weak_history,0.2725592452695334,0.30096816258322484,pe,"2024,2026",0.2725592452695334,0.30096816258322484,0.2881841497920637,priority_refine
DECK,Deckers Outdoor Corporation,84.925,11565243972.055622,12.051569506726455,5.0447328355824,42.5584290402442,26.3324914256712,1117808000.0,,472334000.0,7.484361821074422,2.543375613462683,8.21585429527934,0.0,2393457.7333333325,Consumer Non-Durables,Apparel/Footwear,NYSE:DECK,US,203264398.00333324,0.2831770292867301,41.85955059850699,0.2879048946874337,1.0,0.2831770292867301,1.642162216740528,stable_or_general,True,True,review_high_roa_supports_follow_up,0.0,0.2831770292867301,priority,stable,not_applicable,3,usable,40.63289511686666,27.90743485473333,40.040458946550004,27.45442178145,weak_history,0.29659637769015046,0.30098479947030804,pe,"2024,2026",0.29659637769015046,0.30098479947030804,0.2990100096692372,priority_refine
600132,Chongqing Brewery Co.Ltd Class A,39.98,19112023161.0,16.65416979088561,12.215653024122703,72.5614725824339,9.40469682086705,2306202250.0,,120019179.32,-1.1255032737281108,7.749430700026232,7.746858168761205,6.33071663712332,4121401.3,Consumer Non-Durables,Beverages: Alcoholic,SSE:600132,A,164773623.97399998,0.229518078922193,73.34891608231358,0.2270540681500457,1.0,0.229518078922193,1.0852088193016085,stable_or_general,True,True,review_possible_equity_or_leverage_distortion,0.08,0.3095180789221931,priority,stable,not_applicable,3,usable,69.63333333333333,21.313101634699997,63.61,20.52777435505,weak_history,0.23916950393804134,0.2618168494086718,pe,"2023,2024",0.23916950393804134,0.2618168494086718,0.30162554394688806,priority_refine
OMAB,Grupo Aeroportuario del Centro Norte S.A.B. de C.V.,99.8,4795962521.73541,15.96391323821102,9.240963208373534,61.9717541048613,17.5688845729293,338139320.0,,816786494.026755,13.972101284123989,14.664879841322534,14.664074393353022,4.7902751738736,67104.46666666666,Transportation,Other Transportation,NASDAQ:OMAB,US,6697025.7733333325,0.2575998286444945,57.886578750969925,0.2757791802982229,1.0,0.2575998286444945,6.591995680772433,stable_or_general,True,True,review_high_roa_supports_follow_up,0.0,0.2575998286444945,priority,stable,not_applicable,3,usable,51.35815377623333,19.3007610535,49.254893182550006,18.5762837914,weak_history,0.31083502938531515,0.3241081688888264,pe,"2024,2025",0.31083502938531515,0.3241081688888264,0.31813525611224636,priority_refine
