name,description,close,market_cap_basic,price_earnings_ttm,price_book_fq,return_on_equity,return_on_assets,free_cash_flow_ttm,cash_n_short_term_inv,total_debt,total_revenue_yoy_growth_ttm,net_income_yoy_growth_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,average_volume_30d_calc,sector,industry,symbol,market
NVDA,NVIDIA Corporation,233.2735,5621891274900.127,29.488723990594902,24.59933227318168,117.21070142655302,83.6763468196056,127006000000.0,,38860000000.0,83.37529809100704,122.73173435569362,125.14871211043119,0.12256511271613,126979731.9666668,Electronic Technology,Semiconductors,NASDAQ:NVDA,US
AAPL,Apple Inc.,324.82,4740481322675.437,37.23590842914952,44.13393171346777,148.751081626767,36.0763947669221,136683000000.0,,84344000000.0,14.242398286937902,29.865028203062042,32.60922440789274,0.322963956003778,46483811.133333765,Electronic Technology,Telecommunications Equipment,NASDAQ:AAPL,US
GOOGM,Alphabet Inc. - Depositary Shares representing a 1/20th Interest in a Share of Series A Mandatory Convertible Preferred Stock,48.429,4169738599426.0,2.4329701134873627,0.9515302899584662,48.675697331861,34.2975879823263,53273000000.0,,117348446000.0,20.231187401337234,111.2993519247575,112.01789423230548,0.248189675309507,1224699.7,Technology Services,Internet Software/Services,NASDAQ:GOOGM,US
GOOGN,Alphabet Inc. - Depositary Shares representing a 1/20th Interest in a Share of Series B Mandatory Convertible Preferred Stock,48.13,4169738599426.0,2.4179489884603598,0.9456555546408346,48.675697331861,34.2975879823263,53273000000.0,,117348446000.0,20.231187401337234,111.2993519247575,112.01789423230548,0.248189675309507,1492430.7666666666,Technology Services,Internet Software/Services,NASDAQ:GOOGN,US
GOOG,Alphabet Inc.,337.38,4148833339254.2876,16.949254721104428,6.628823416262721,48.675697331861,34.2975879823263,53273000000.0,,117348446000.0,20.231187401337234,111.2993519247575,112.01789423230548,0.250678306004483,16982350.46666666,Technology Services,Internet Software/Services,NASDAQ:GOOG,US
GOOGL,Alphabet Inc.,340.64,4147336359812.1714,17.11303019798747,6.692875714374691,48.675697331861,34.2975879823263,53273000000.0,,117348446000.0,20.231187401337234,111.2993519247575,112.01789423230548,0.248189675309507,25059201.466666702,Technology Services,Internet Software/Services,NASDAQ:GOOGL,US
MSFT,Microsoft Corporation,504.73,3747895498993.364,28.125870696668787,8.47364294624165,34.0386274504814,19.4207984875622,66987000000.0,,128813000000.0,17.78868679984666,31.34279990572708,31.54908515130189,0.713557594291539,31253108.866666667,Technology Services,Packaged Software,NASDAQ:MSFT,US
AMZN,"Amazon.com, Inc.",258.78,2791282388376.1387,20.81463249843154,5.058599648724647,30.558338368750697,15.2184172085638,-11625000000.0,,241995000000.0,15.766568463281185,91.55374311484927,89.7295812477109,0.0,41724993.433333345,Retail Trade,Internet Retail,NASDAQ:AMZN,US
SPCX,Space Exploration Technologies Corp,148.58,2016389548159.2725,,15.387738277956947,,,,,39708000000.0,,,,0.0,98589019.86666666,Communications,Specialty Telecommunications,NASDAQ:SPCX,US
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,423.545,1951016865144.7932,30.569830386142186,10.878996289975742,40.0598729301554,26.904628394313402,39903628640.0,,33542791580.996098,34.599355140412875,57.79950265759371,57.778461047908635,0.662235677801492,10677895.966666665,Electronic Technology,Semiconductors,NYSE:TSM,US
AVGO,Broadcom Inc.,358.715,1706615355223.3396,45.783078709907976,,44.2454341001463,21.6327603605743,39403000000.0,,59419000000.0,48.69005106297767,102.11810690893725,100.17117163149555,0.711165864038526,21227301.366666667,Electronic Technology,Semiconductors,NASDAQ:AVGO,US
META,"Meta Platforms, Inc.",607.6954,1548107740517.745,22.890698629259784,5.927577852598936,29.848495806404202,18.2887068618236,40976000000.0,,112318000000.0,27.65206594930762,-4.767365432754835,-3.857269092594742,0.343878954607978,16646986.033333333,Technology Services,Internet Software/Services,NASDAQ:META,US
TSLA,"Tesla, Inc.",357.28,1411094332566.1562,331.95205797640057,16.243736059293635,4.6366006383549,2.74711195960894,5762000000.0,,16080000000.0,11.75474547023296,-37.2154404486968,-37.67083622886263,0.0,35650478.3333334,Consumer Durables,Motor Vehicles,NASDAQ:TSLA,US
MU,"Micron Technology, Inc.",994.6949,1123401491762.3237,22.518623746663618,11.149384471687176,66.6380585190662,47.4982236046473,26172000000.0,,6376000000.0,166.98015556147044,710.7469879518072,697.287150515315,0.0553143525089755,33539233.8,Electronic Technology,Semiconductors,NASDAQ:MU,US
LLY,Eli Lilly and Company,1149.0701,1081685223314.2545,39.04537005888729,31.9327441281656,102.429633436174,21.9645435795886,18190100000.0,,54908000000.0,49.58438246952107,93.54850397466649,95.1428306190653,0.576923076923077,2661502.9,Health Technology,Pharmaceuticals: Major,NYSE:LLY,US
BRK.B,Berkshire Hathaway Inc. New,506.76,975905463202.6044,12.74178746087022,1.455104028050464,12.1149884278469,7.06770678180285,24215000000.0,,129370000000.0,3.927045989339486,36.317111160558184,36.302726637147536,0.0,4173427.1,Finance,Property/Casualty Insurance,NYSE:BRK.B,US
BRK.A,Berkshire Hathaway Inc.,760000.0,974668185710.661,12.73942790916989,1.454836034501454,12.1149884278469,7.06770678180285,24215000000.0,,129370000000.0,3.927045989339486,36.317111160558184,36.30277029708534,0.0,143.63333333333333,Finance,Property/Casualty Insurance,NYSE:BRK.A,US
JPM/PM,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.20% Non-Cumulative Preferred Stock, Series MM",16.68,962422917793.0,0.7145611103971212,0.12540670718375932,17.7104721389104,1.3541187290248,153745000000.0,,1276819000000.0,8.204007259475325,15.191606650662399,19.772185022704537,1.65718389217257,276959.6666666667,Finance,Major Banks,NYSE:JPM/PM,US
JPM/PJ,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of JPMorgan Chase & Co. 4.75% Non-Cumulative Preferred Stock, Series GG",18.49,962422917793.0,0.7921004155421325,0.1390149889584958,17.7104721389104,1.3541187290248,153745000000.0,,1276819000000.0,8.204007259475325,15.191606650662399,19.772185022704537,1.65718389217257,97268.06666666667,Finance,Major Banks,NYSE:JPM/PJ,US
JPM/PC,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 6.00% Non-Cumulative Preferred Stock, Series EE",24.3753,962422917793.0,1.044223107569721,0.1832629562120077,17.7104721389104,1.3541187290248,153745000000.0,,1276819000000.0,8.204007259475325,15.191606650662399,19.772185022704537,1.65718389217257,203978.76666666666,Finance,Major Banks,NYSE:JPM/PC,US
JPM/PL,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.625% Non-Cumulative Preferred Stock, Series LL",17.99,962422917793.0,0.770680717988262,0.13525579509807134,17.7104721389104,1.3541187290248,153745000000.0,,1276819000000.0,8.204007259475325,15.191606650662399,19.772185022704537,1.65718389217257,223543.73333333334,Finance,Major Banks,NYSE:JPM/PL,US
JPM/PK,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.55% Non-Cumulative Preferred Stock, Series JJ",17.6383,962422917793.0,0.7556141027288695,0.1326115781366488,17.7104721389104,1.3541187290248,153745000000.0,,1276819000000.0,8.204007259475325,15.191606650662399,19.772185022704537,1.65718389217257,204130.2,Finance,Major Banks,NYSE:JPM/PK,US
JPM/PD,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 5.75% Non-Cumulative Preferred Stock, Series DD",22.72,962422917793.0,0.9733110568478772,0.17081776901768655,17.7104721389104,1.3541187290248,153745000000.0,,1276819000000.0,8.204007259475325,15.191606650662399,19.772185022704537,1.65718389217257,182965.66666666666,Finance,Major Banks,NYSE:JPM/PD,US
JPM,JP Morgan Chase & Co.,361.0298,959684454306.5328,15.46629824786874,2.7143620151805274,17.7104721389104,1.3541187290248,153745000000.0,,1276819000000.0,8.204007259475325,15.191606650662399,19.772185022704537,1.65718389217257,5731581.333333333,Finance,Major Banks,NYSE:JPM,US
WMT,Walmart Inc.,109.0,864778309613.6598,39.49132277816021,8.812047119390304,23.4417142735787,7.81795871100715,13509000000.0,,73755000000.0,6.158380617266318,3.429535232383808,4.131140119218296,0.901586423169157,25850141.3,Retail Trade,Specialty Stores,NASDAQ:WMT,US
SKHY,SK hynix Inc.,169.485,852676399620.1177,11.00837879968823,7.116243097263091,93.7000394644496,68.3167007146447,62528879780.0,,13627534370.3608,134.0537715627112,433.4728336552657,433.67534403272214,0.0,25204368.066666666,Electronic Technology,Semiconductors,NASDAQ:SKHY,US
AMD,"Advanced Micro Devices, Inc.",466.955,762292358344.9362,119.83959964070318,11.336286069007976,10.1963133132108,8.12259862886417,8403000000.0,,4276000000.0,39.54391891891892,127.02893436838391,124.2848097622748,0.0,22351314.4,Electronic Technology,Semiconductors,NASDAQ:AMD,US
V,Visa Inc.,376.0,702009806795.1315,32.268307544433284,20.265455913470813,60.6673708729449,23.0188989486882,21013000000.0,,23858000000.0,14.385622091378911,11.65445391555755,15.026505167767343,0.707590759075908,6747630.333333333,Finance,Finance/Rental/Leasing,NYSE:V,US
JNJ,Johnson & Johnson,277.43,668578105928.8917,32.15535826050673,7.862855341940538,25.742150216587902,10.6664976549626,22244000000.0,,49036000000.0,8.07181320621469,-7.166497506729623,-7.724064171122985,1.89634737636031,6610041.966666667,Health Technology,Pharmaceuticals: Major,NYSE:JNJ,US
XOM,ExxonMobil Holdings Corporation,159.53,655973365959.7533,20.529417820559015,2.529059292354847,12.5512239138806,7.182930425982841,30553000000.0,,42368000000.0,10.581923637547662,5.616637111075287,10.170981370686484,2.53991739103631,13673050.5,Energy Minerals,Integrated Oil,NYSE:XOM,US
ASMLF,ASML Holding N.V.,1698.015468,648616113879.9391,53.97518978810307,26.255614553019655,53.94233792047379,22.3815770234548,11467767078.0,,2266303864.0,6.487742593314103,9.545384214628214,11.202880168603903,0.546578614584797,2003.5,Electronic Technology,Semiconductors,OTC:ASMLF,US
ASML,ASML Holding N.V. - New York Registry Shares,1703.95,632065780908.219,53.04785031599265,26.318801396729114,54.3685917431212,22.5434892596906,11326287120.0,,2268764520.0,17.870656423116674,21.27997306672079,23.100094276713666,0.468666253591627,1370537.8666666667,Electronic Technology,Semiconductors,NASDAQ:ASML,US
MA,Mastercard Incorporated,582.56,510328367652.04755,32.04946938146768,91.15803375551195,241.488413547237,29.7960081376808,16490000000.0,,24643000000.0,16.153134091510182,19.65994406006183,22.61557038106353,0.575370063683393,2909741.166666622,Finance,Finance/Rental/Leasing,NYSE:MA,US
