symbol,label,market,code,payout_method,gate_note,fiscal_years,base_eps,f1_revenue,analysts,forecast_source,forecast_method,payout_ratio,payout_detail,payout_years,forecast_dividend_payout,close,ttm_pe,ttm_pb,historical_neutral_roe,historical_bear_roe,historical_bear_roa,base_pr,bear_pr,revenue_growth_ttm,profit_growth_ttm,base_eps_f1,base_eps_f2,base_eps_f3,bear_eps_f1,bear_eps_f2,bear_eps_f3,base_pe_f1,bear_pe_f1,base_pe_f3,bear_pe_f3,base_eps_cagr_to_f3,bear_eps_cagr_to_f3,payout_adjustment,adjustment_status,adjusted_base_pr,adjusted_bear_pr,market_pr_factor,market_normalized_bear_pr,adjusted_base_pe_f1,adjusted_bear_pe_f1,screen_metric
NYSE:MUSA,Murphy USA,US,MUSA,total_payout,高ROE、回购与燃油毛利复核,"['F1', 'F2', 'F3']","[34.906, 37.34942, 39.59038520000001]",23182536613.0,,https://www.tradingview.com/markets/stocks-usa/stock-screener/,F1 analyst consensus; F2-F3 conservative fade model,1.0069285574220537,"{""profit"": 1529900000.0, ""dividend"": 111700000.0, ""repurchase"": 1428800000.0, ""issuance"": 0.0, ""sbc"": 0.0}","2025-12-31,2024-12-31,2023-12-31",,524.74,15.976689877329568,12.32260453748198,66.76620235456666,62.2614428895,10.73571607425,0.2392930751472761,0.256606482854639,10.265769303825085,25.83078491335372,34.906,37.34942,39.59038520000001,27.9248,28.012065,27.713269640000004,15.032945625393916,18.791182031742395,13.254228200841045,18.934611715487208,0.06425113132815574,-0.05504716163464052,1.0,applied,0.2392930751472761,0.256606482854639,1.0,0.256606482854639,15.032945625393916,18.791182031742395,0.3116536444892795
SSE:600132,重庆啤酒,A,600132,dividend,高ROE与销量停滞复核,"['2026', '2027', '2028']","[2.522, 2.621724137931, 2.738571428571]",,30.0,https://data.eastmoney.com/report/profitforecast.jshtml,Eastmoney broker consensus mean,1.013157894736842,"{""cash_dividend_per_share"": 7.699999999999999, ""eps"": 7.6}","2025,2024,2023",,39.98,16.65416979088561,12.215653024122703,69.63333333333333,63.61,20.52777435505,0.2391695039380413,0.2618168494086718,-1.1255032737281108,7.749430700026232,2.522,2.621724137931,2.738571428571,2.1437,2.0973793103448,2.05392857142825,15.852498017446472,18.64999766758408,14.598852373502545,19.465136498003393,0.04488402733457719,-0.05065985840447962,1.0,applied,0.2391695039380413,0.2618168494086718,1.0,0.2618168494086718,15.852498017446472,18.64999766758408,0.3124767078131514
NYSE:DECK,Deckers,US,DECK,total_payout,HOKA集中度待核,"['F1', 'F2', 'F3']","[7.534283, 8.287711300000002, 9.033605317000003]",5886984097.0,,https://www.tradingview.com/markets/stocks-usa/stock-screener/,F1 analyst consensus; F2-F3 conservative fade model,0.7005100510051006,"{""profit"": 2749725000.0, ""dividend"": 0.0, ""repurchase"": 2057033000.0, ""issuance"": 10757000.0, ""sbc"": 120066000.0}","2026-03-31,2025-03-31,2024-03-31",,84.925,12.051569506726455,5.0447328355824,40.63289511686666,40.04045894655,27.45442178145,0.2965963776901504,0.300984799470308,7.484361821074422,2.543375613462683,7.534283,8.287711300000002,9.033605317000003,6.0274264,6.215783475000001,6.323523721900002,11.271809142289982,14.089761427862477,9.401008458957447,13.430012084224925,0.0863165318786816,-0.03545520418577519,1.0,applied,0.2965963776901504,0.300984799470308,1.0,0.300984799470308,11.271809142289982,14.089761427862477,0.3364400036560832
NASDAQ:OMAB,OMA Airport,US,OMAB,dividend,墨西哥特许权与汇率,"['F1', 'F2', 'F3']","[7.384285, 7.9750278, 8.533279746000002]",1010935306.0,,https://www.tradingview.com/markets/stocks-usa/stock-screener/,F1 analyst consensus; F2-F3 conservative fade model,0.5710829344902987,"{""profit"": 21761067000.0, ""dividend"": 12427374000.0, ""repurchase"": 0.0, ""issuance"": 0.0, ""sbc"": 0.0}","2025-12-31,2024-12-31,2023-12-31",,99.8,15.96391323821102,9.240963208373534,51.35815377623333,49.254893182550006,18.5762837914,0.3108350293853151,0.3241081688888264,13.972101284123989,14.664879841322534,7.384285,7.9750278,8.533279746000002,5.907428,5.9812708500000005,5.973295822200001,13.515187997213,16.89398499651625,11.695385944282622,16.70769420611803,0.10928106617020639,-0.015064902290175097,1.0,applied,0.3108350293853151,0.3241081688888264,1.0,0.3241081688888264,13.515187997213,16.89398499651625,0.3391730711790015
NASDAQ:LULU,Lululemon,US,LULU,total_payout,品牌修复待证,"['F1', 'F2', 'F3']","[10.106991, 10.915550280000001, 11.788794302400003]",10570915380.0,,https://www.tradingview.com/markets/stocks-usa/stock-screener/,F1 analyst consensus; F2-F3 conservative fade model,0.6327089319980284,"{""profit"": 4943989000.0, ""dividend"": 0.0, ""repurchase"": 3373880000.0, ""issuance"": 0.0, ""sbc"": 245774000.0}","2026-02-01,2025-02-02,2024-01-28",,101.35,8.307104685092291,2.362462602112114,39.47828557523333,30.8979519751313,17.715835759045,0.2104221235560377,0.26885615887352,1.741731226859486,-20.59487610247795,10.106991,10.915550280000001,11.788794302400003,7.5802432500000005,7.8591962016000005,8.252156011680002,10.02771250117864,13.370283334904851,8.597147206085937,12.281638865837053,-0.011374579098377802,-0.12219553255698667,1.0,applied,0.2104221235560377,0.26885615887352,1.0,0.26885615887352,10.02771250117864,13.370283334904851,0.39105169143050666
NASDAQ:PDD,PDD,US,PDD,reinvestment,治理/竞争条件通过,"['F1', 'F2', 'F3']","[10.19870876304, 11.728515077496, 13.135936886795522]",69539733496.26073,,https://www.tradingview.com/markets/stocks-usa/stock-screener/,F1 analyst consensus; F2-F3 conservative fade model,0.0,"{""profit"": 270303595000.0, ""dividend"": 0.0, ""repurchase"": 0.0, ""issuance"": 0.0, ""sbc"": 24899329000.0}","2025-12-31,2024-12-31,2023-12-31",,81.895,9.084001641653632,1.7663927045037136,37.07066319716667,22.9436193816255,15.1072366213241,0.2450455659058165,0.3959271416840446,13.529529753296712,-1.594457918651893,10.19870876304,11.728515077496,13.135936886795522,8.158967010432,8.796386308122,9.195155820756865,8.029938093416934,10.037422616771167,6.234423985572153,8.90631997938879,0.13368819219963668,0.006606282582392042,1.0,not_mechanical,0.2450455659058165,0.3959271416840446,1.0,0.3959271416840446,8.029938093416934,10.037422616771167,0.3959271416840446
SZSE:002847,盐津铺子,A,002847,dividend,品牌与渠道待核,"['2026', '2027', '2028']","[3.16634375, 3.7839375, 4.425870967742]",,32.0,https://data.eastmoney.com/report/profitforecast.jshtml,Eastmoney broker consensus mean,0.5784061696658098,"{""cash_dividend_per_share"": 4.5, ""eps"": 7.779999999999999}","2025,2024,2023",,45.45,15.439228208438074,5.846757075926798,38.86666666666667,37.44584590495,19.198646413515,0.3972357171982352,0.4123081702474546,1.837936822751901,15.536413454631331,3.16634375,3.7839375,4.425870967742,2.533075,2.837953125,3.0981096774193997,14.35409531893055,17.942619148663187,10.269165172519202,14.670235960741719,0.1455924667542261,0.017176135597254394,1.0,applied,0.3972357171982352,0.4123081702474546,1.0,0.4123081702474546,14.35409531893055,17.942619148663187,0.4123081702474546
NYSE:TJX,TJX,US,TJX,total_payout,高ROE资本结构复核,"['F1', 'F2', 'F3']","[5.283072, 5.65288704, 5.992060262400001]",64018909685.0,,https://www.tradingview.com/markets/stocks-usa/stock-screener/,F1 analyst consensus; F2-F3 conservative fade model,0.7398867313915858,"{""profit"": 14832000000.0, ""dividend"": 4974000000.0, ""repurchase"": 7519000000.0, ""issuance"": 962000000.0, ""sbc"": 557000000.0}","2026-01-31,2025-02-01,2024-02-03",,132.5,24.50663066195646,13.698686787022124,62.19573307173333,60.55541725725,16.04678793625,0.3940243076432878,0.4046975773917635,7.661631419939577,21.97426618415762,5.283072,5.65288704,5.992060262400001,4.7547648,4.9180117248,5.09325122304,25.080104908659205,27.86678323184356,22.11259469992876,26.01481729403384,0.0348592833514465,-0.019710670924201534,1.0,applied,0.3940243076432878,0.4046975773917635,1.0,0.4046975773917635,25.080104908659205,27.86678323184356,0.424408248315965
SZSE:000651,格力电器,A,000651,dividend,收入利润下滑,"['2026', '2027', '2028']","[5.21375, 5.499166666667, 5.779565217391]",,23.0,https://data.eastmoney.com/report/profitforecast.jshtml,Eastmoney broker consensus mean,0.5156923076923077,"{""cash_dividend_per_share"": 8.379999999999999, ""eps"": 16.25}","2025,2024,2023",,38.98,7.791480941054187,1.4659723669097915,24.99328571428571,19.6322235112199,6.96422965064431,0.2346816193333654,0.3803529635478851,-12.915115176127786,-14.148026898616642,5.21375,5.499166666667,5.779565217391,4.4316875,4.3993333333336,4.33467391304325,7.476384560057539,8.795746541244165,6.744451967201137,8.992602622934848,0.049279324833571225,-0.046666465605956886,1.0,applied,0.2346816193333654,0.3803529635478851,1.0,0.3803529635478851,7.476384560057539,8.795746541244165,0.427019429153842
NASDAQ:ADBE,Adobe,US,ADBE,total_payout,AI替代条件通过,"['F1', 'F2', 'F3']","[24.421405, 26.8635455, 29.281264595000003]",26539040535.0,,https://www.tradingview.com/markets/stocks-usa/stock-screener/,F1 analyst consensus; F2-F3 conservative fade model,1.0301909703057732,"{""profit"": 18118000000.0, ""dividend"": 0.0, ""repurchase"": 25181000000.0, ""issuance"": 1023000000.0, ""sbc"": 5493000000.0}","2025-11-28,2024-11-29,2023-12-01",,265.38,15.178535681398316,9.193142244286502,42.005208337206,33.55414014024167,17.997433223033333,0.3613488965356224,0.4523595484181283,11.49064200699084,5.2409375454942495,24.421405,26.8635455,29.281264595000003,19.537124000000002,20.147659125,20.4968852165,10.86669665402134,13.583370817526673,9.063133155981099,12.947333079973,0.1875461747098579,0.05442700077900042,1.0,applied,0.3613488965356224,0.4523595484181283,1.0,0.4523595484181283,10.86669665402134,13.583370817526673,0.4523595484181283
