symbol,label,market,code,payout_method,gate_note,fiscal_years,base_eps,f1_revenue,analysts,forecast_source,forecast_method,payout_ratio,payout_detail,payout_years,forecast_dividend_payout
NASDAQ:PDD,PDD,US,PDD,reinvestment,治理/竞争条件通过,"['F1', 'F2', 'F3']","[10.19870876304, 11.728515077496, 13.135936886795522]",69539733496.26073,,https://www.tradingview.com/markets/stocks-usa/stock-screener/,F1 analyst consensus; F2-F3 conservative fade model,0.0,"{""profit"": 270303595000.0, ""dividend"": 0.0, ""repurchase"": 0.0, ""issuance"": 0.0, ""sbc"": 24899329000.0}","2025-12-31,2024-12-31,2023-12-31",
NASDAQ:ADBE,Adobe,US,ADBE,total_payout,AI替代条件通过,"['F1', 'F2', 'F3']","[24.421405, 26.8635455, 29.281264595000003]",26539040535.0,,https://www.tradingview.com/markets/stocks-usa/stock-screener/,F1 analyst consensus; F2-F3 conservative fade model,1.0301909703057732,"{""profit"": 18118000000.0, ""dividend"": 0.0, ""repurchase"": 25181000000.0, ""issuance"": 1023000000.0, ""sbc"": 5493000000.0}","2025-11-28,2024-11-29,2023-12-01",
NASDAQ:GOOGL,Alphabet,US,GOOGL,reinvestment,AI/监管条件通过,"['F1', 'F2', 'F3']","[20.569482, 23.449209480000004, 26.263114617600007]",497606056389.0,,https://www.tradingview.com/markets/stocks-usa/stock-screener/,F1 analyst consensus; F2-F3 conservative fade model,0.38110251141030377,"{""profit"": 306083000000.0, ""dividend"": 17412000000.0, ""repurchase"": 169435000000.0, ""issuance"": 0.0, ""sbc"": 70198000000.0}","2025-12-31,2024-12-31,2023-12-31",
NASDAQ:LULU,Lululemon,US,LULU,total_payout,品牌修复待证,"['F1', 'F2', 'F3']","[10.106991, 10.915550280000001, 11.788794302400003]",10570915380.0,,https://www.tradingview.com/markets/stocks-usa/stock-screener/,F1 analyst consensus; F2-F3 conservative fade model,0.6327089319980284,"{""profit"": 4943989000.0, ""dividend"": 0.0, ""repurchase"": 3373880000.0, ""issuance"": 0.0, ""sbc"": 245774000.0}","2026-02-01,2025-02-02,2024-01-28",
NASDAQ:CHKP,Check Point,US,CHKP,total_payout,低增长但防守,"['F1', 'F2', 'F3']","[10.443949, 11.17502543, 11.8455269558]",2801847314.0,,https://www.tradingview.com/markets/stocks-usa/stock-screener/,F1 analyst consensus; F2-F3 conservative fade model,0.984870028072478,"{""profit"": 2742900000.0, ""dividend"": 0.0, ""repurchase"": 3987500000.0, ""issuance"": 785500000.0, ""sbc"": 500600000.0}","2025-12-31,2024-12-31,2023-12-31",
NASDAQ:META,Meta,US,META,reinvestment,资本开支压力,"['F1', 'F2', 'F3']","[31.398611, 35.79441654, 40.089746524800006]",254115544748.0,,https://www.tradingview.com/markets/stocks-usa/stock-screener/,F1 analyst consensus; F2-F3 conservative fade model,0.21862570715679736,"{""profit"": 161916000000.0, ""dividend"": 10396000000.0, ""repurchase"": 76147000000.0, ""issuance"": 0.0, ""sbc"": 51144000000.0}","2025-12-31,2024-12-31,2023-12-31",
NASDAQ:MSFT,Microsoft,US,MSFT,reinvestment,质量高/价格一般,"['F1', 'F2', 'F3']","[19.723885, 22.485228900000003, 25.183456368000005]",390636932025.0,,https://www.tradingview.com/markets/stocks-usa/stock-screener/,F1 analyst consensus; F2-F3 conservative fade model,0.2751261132408863,"{""profit"": 323717000000.0, ""dividend"": 72298000000.0, ""repurchase"": 57945000000.0, ""issuance"": 6067000000.0, ""sbc"": 35113000000.0}","2026-06-30,2025-06-30,2024-06-30",
NYSE:DECK,Deckers,US,DECK,total_payout,HOKA集中度待核,"['F1', 'F2', 'F3']","[7.534283, 8.287711300000002, 9.033605317000003]",5886984097.0,,https://www.tradingview.com/markets/stocks-usa/stock-screener/,F1 analyst consensus; F2-F3 conservative fade model,0.7005100510051006,"{""profit"": 2749725000.0, ""dividend"": 0.0, ""repurchase"": 2057033000.0, ""issuance"": 10757000.0, ""sbc"": 120066000.0}","2026-03-31,2025-03-31,2024-03-31",
NYSE:UHS,Universal Health Services,US,UHS,total_payout,医疗政策与劳动成本,"['F1', 'F2', 'F3']","[22.528523, 24.10551961, 25.551850786600003]",18607862604.0,,https://www.tradingview.com/markets/stocks-usa/stock-screener/,F1 analyst consensus; F2-F3 conservative fade model,0.602022690961039,"{""profit"": 3393598000.0, ""dividend"": 185165000.0, ""repurchase"": 2186068000.0, ""issuance"": 45453000.0, ""sbc"": 282757000.0}","2025-12-31,2024-12-31,2023-12-31",
NYSE:TJX,TJX,US,TJX,total_payout,高ROE资本结构复核,"['F1', 'F2', 'F3']","[5.283072, 5.65288704, 5.992060262400001]",64018909685.0,,https://www.tradingview.com/markets/stocks-usa/stock-screener/,F1 analyst consensus; F2-F3 conservative fade model,0.7398867313915858,"{""profit"": 14832000000.0, ""dividend"": 4974000000.0, ""repurchase"": 7519000000.0, ""issuance"": 962000000.0, ""sbc"": 557000000.0}","2026-01-31,2025-02-01,2024-02-03",
NYSE:ARCO,Arcos Dorados,US,ARCO,total_payout,拉美汇率与特许成本,"['F1', 'F2', 'F3']","[0.787395, 0.8503866, 0.909913662]",5289306357.0,,https://www.tradingview.com/markets/stocks-usa/stock-screener/,F1 analyst consensus; F2-F3 conservative fade model,0.26033249162130706,"{""profit"": 542149000.0, ""dividend"": 141139000.0, ""repurchase"": 0.0, ""issuance"": 0.0, ""sbc"": 0.0}","2025-12-31,2024-12-31,2023-12-31",
NASDAQ:GCT,GigaCloud,US,GCT,total_payout,治理与平台可替代性待核,"['F1', 'F2', 'F3']","[4.376667, 4.901867040000001, 5.392053744000001]",1547486000.0,,https://www.tradingview.com/markets/stocks-usa/stock-screener/,F1 analyst consensus; F2-F3 conservative fade model,0.1902134972347238,"{""profit"": 357288000.0, ""dividend"": 0.0, ""repurchase"": 92240000.0, ""issuance"": 0.0, ""sbc"": 24279000.0}","2025-12-31,2024-12-31,2023-12-31",
SSE:605499,东鹏饮料,A,605499,reinvestment,单品依赖待核,"['2026', '2027', '2028']","[7.539853658537, 8.690341463415, 9.94715]",,41.0,https://data.eastmoney.com/report/profitforecast.jshtml,Eastmoney broker consensus mean,0.6253939982188779,"{""cash_dividend_per_share"": 12.5, ""eps"": 19.9874}","2025,2024,2023",
SSE:600519,贵州茅台,A,600519,dividend,渠道库存待核,"['2026', '2027', '2028']","[67.656739130435, 71.522173913044, 75.208837209302]",,45.0,https://data.eastmoney.com/report/profitforecast.jshtml,Eastmoney broker consensus mean,0.6935973476443573,"{""cash_dividend_per_share"": 134.41223, ""eps"": 193.79}","2025,2024,2023",
SZSE:000333,美的集团,A,000333,dividend,稳健低增长,"['2026', '2027', '2028']","[6.159709677419, 6.650967741935, 7.160666666667]",,31.0,https://data.eastmoney.com/report/profitforecast.jshtml,Eastmoney broker consensus mean,0.6679035250463822,"{""cash_dividend_per_share"": 10.8, ""eps"": 16.17}","2025,2024,2023",
SSE:600809,山西汾酒,A,600809,dividend,白酒去库存,"['2026', '2027', '2028']","[8.762314285714, 9.482171428571, 10.450029411765]",,35.0,https://data.eastmoney.com/report/profitforecast.jshtml,Eastmoney broker consensus mean,0.593300833903703,"{""cash_dividend_per_share"": 16.990000000000002, ""eps"": 28.6364}","2025,2024,2023",
NYSE:MUSA,Murphy USA,US,MUSA,total_payout,高ROE、回购与燃油毛利复核,"['F1', 'F2', 'F3']","[34.906, 37.34942, 39.59038520000001]",23182536613.0,,https://www.tradingview.com/markets/stocks-usa/stock-screener/,F1 analyst consensus; F2-F3 conservative fade model,1.0069285574220537,"{""profit"": 1529900000.0, ""dividend"": 111700000.0, ""repurchase"": 1428800000.0, ""issuance"": 0.0, ""sbc"": 0.0}","2025-12-31,2024-12-31,2023-12-31",
NYSE:WSM,Williams-Sonoma,US,WSM,total_payout,高ROE回购与家居需求复核,"['F1', 'F2', 'F3']","[9.508993, 10.17462251, 10.7850998606]",8271767139.0,,https://www.tradingview.com/markets/stocks-usa/stock-screener/,F1 analyst consensus; F2-F3 conservative fade model,0.7944484660734324,"{""profit"": 3163450000.0, ""dividend"": 829017000.0, ""repurchase"": 1974440000.0, ""issuance"": 0.0, ""sbc"": 290259000.0}","2026-02-01,2025-02-02,2024-01-28",
NASDAQ:OMAB,OMA Airport,US,OMAB,dividend,墨西哥特许权与汇率,"['F1', 'F2', 'F3']","[7.384285, 7.9750278, 8.533279746000002]",1010935306.0,,https://www.tradingview.com/markets/stocks-usa/stock-screener/,F1 analyst consensus; F2-F3 conservative fade model,0.5710829344902987,"{""profit"": 21761067000.0, ""dividend"": 12427374000.0, ""repurchase"": 0.0, ""issuance"": 0.0, ""sbc"": 0.0}","2025-12-31,2024-12-31,2023-12-31",
SZSE:002032,苏泊尔,A,002032,dividend,内需与出口增长待核,"['2026', '2027', '2028']","[2.617857142857, 2.806428571429, 2.951538461538]",,14.0,https://data.eastmoney.com/report/profitforecast.jshtml,Eastmoney broker consensus mean,0.9996329377217668,"{""cash_dividend_per_share"": 8.17, ""eps"": 8.173}","2025,2024,2023",
