序号,代码,名称,研报数,机构投资评级(近六个月)-买入,机构投资评级(近六个月)-增持,机构投资评级(近六个月)-中性,机构投资评级(近六个月)-减持,机构投资评级(近六个月)-卖出,2025预测每股收益,2026预测每股收益,2027预测每股收益,2028预测每股收益
1,600519,贵州茅台,45,36.0,9.0,0.0,0.0,0.0,65.851754826108,67.656739130435,71.522173913044,75.208837209302
2,605499,东鹏饮料,41,28.0,13.0,0.0,0.0,0.0,6.01371192761,7.539853658537,8.690341463415,9.94715
3,603345,安井食品,40,32.0,8.0,0.0,0.0,0.0,4.078254658694,5.150475,5.95465,6.634710526316
4,300750,宁德时代,40,33.0,7.0,0.0,0.0,0.0,15.605114497134,20.764076923077,25.874641025641,31.044894736842
5,600600,青岛啤酒,37,25.0,12.0,0.0,0.0,0.0,3.363229399059,3.465675675676,3.645675675676,3.830555555556
6,603288,海天味业,36,24.0,12.0,0.0,0.0,0.0,1.202941549966,1.325333333333,1.465277777778,1.606714285714
7,600887,伊利股份,35,27.0,8.0,0.0,0.0,0.0,1.828380563048,1.682657142857,2.077857142857,2.240970588235
8,600809,山西汾酒,35,31.0,4.0,0.0,0.0,0.0,10.038269251186,8.762314285714,9.482171428571,10.450029411765
9,603259,药明康德,34,30.0,4.0,0.0,0.0,0.0,6.373849004517,7.387818181818,9.014212121212,10.73890625
10,600989,宝丰能源,34,29.0,5.0,0.0,0.0,0.0,1.547761941272,2.245117647059,2.371382352941,2.512242424242
11,603605,珀莱雅,34,24.0,10.0,0.0,0.0,0.0,3.782428833735,4.556382352941,4.537382352941,4.988941176471
12,002594,比亚迪,33,25.0,8.0,0.0,0.0,0.0,3.577746535319,4.383212121212,5.5991875,6.720322580645
13,603369,今世缘,33,25.0,8.0,0.0,0.0,0.0,2.088298515017,2.083393939394,2.216242424242,2.40271875
14,000568,泸州老窖,33,25.0,8.0,0.0,0.0,0.0,7.35831453966,5.521696969697,5.916121212121,6.4660625
15,002847,盐津铺子,32,28.0,4.0,0.0,0.0,0.0,2.769979264802,3.16634375,3.7839375,4.425870967742
16,300979,华利集团,32,25.0,7.0,0.0,0.0,0.0,2.747789410557,2.26059375,2.713125,3.049103448276
17,002648,卫星化学,32,28.0,4.0,0.0,0.0,0.0,1.576505084677,3.030625,3.220625,3.523870967742
18,002946,新乳业,32,22.0,10.0,0.0,0.0,0.0,0.849496184407,1.00125,1.1703125,1.328064516129
19,688111,金山办公,32,24.0,8.0,0.0,0.0,0.0,3.957792144122,5.9765625,5.7153125,6.863225806452
20,603919,金徽酒,31,17.0,14.0,0.0,0.0,0.0,0.698629382774,0.601612903226,0.779677419355,0.900333333333
21,601888,中国中免,31,22.0,8.0,1.0,0.0,0.0,1.725952153554,2.321290322581,2.725129032258,3.119724137931
22,600176,中国巨石,31,21.0,10.0,0.0,0.0,0.0,0.820721659518,1.773258064516,2.513,2.808166666667
23,000333,美的集团,31,25.0,6.0,0.0,0.0,0.0,5.760285646843,6.159709677419,6.650967741935,7.160666666667
24,600426,华鲁恒升,31,28.0,3.0,0.0,0.0,0.0,1.205659336195,1.953225806452,2.233290322581,2.4983
25,000729,燕京啤酒,31,20.0,11.0,0.0,0.0,0.0,0.595740163767,0.724516129032,0.832580645161,0.928
26,002714,牧原股份,30,21.0,9.0,0.0,0.0,0.0,2.682643616545,0.226966666667,4.5922,4.314965517241
27,002624,完美世界,30,24.0,6.0,0.0,0.0,0.0,0.376737588825,0.771,1.068333333333,1.152962962963
28,002568,百润股份,30,15.0,15.0,0.0,0.0,0.0,0.611953015526,0.730451612903,0.832419354839,0.942833333333
29,600132,重庆啤酒,30,15.0,15.0,0.0,0.0,0.0,2.543327145286,2.522,2.621724137931,2.738571428571
30,002345,潮宏基,29,22.0,7.0,0.0,0.0,0.0,0.559375206448,0.842142857143,0.997785714286,1.176296296296
