name,description,close,market_cap_basic,price_earnings_ttm,price_book_fq,return_on_equity,return_on_assets,free_cash_flow_ttm,cash_n_short_term_inv,total_debt,total_revenue_yoy_growth_ttm,net_income_yoy_growth_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,average_volume_30d_calc,sector,industry,symbol,market,traded_value_30d,quick_pr_roe,implied_roe_from_pe_pb,quick_pr_pe_pb,market_pr_factor,market_normalized_quick_pr,pr_path_gap_percent,model,fcf_positive,extreme_roe_review_required,roe_reliability_precheck,rank_penalty,screen_rank,stage1_tier
300972,"Fujian Wanchen Food Group Co., Ltd. Class A",181.12,35741052904.0,17.386296004761263,13.257491192537392,96.4764954942345,22.1421155552169,4077275010.0,,1738164366.96,44.81447487802455,172.58301461960758,155.20958377226293,0.545057972614841,1987521.6666666667,Process Industries,Agricultural Commodities/Milling,SZSE:300972,A,359979924.2666667,0.1802127649402468,76.25253354082324,0.2280094207683365,1.0,0.1802127649402468,20.962579382477532,cyclical,True,True,review_high_roa_supports_follow_up,0.0,0.1802127649402468,priority
600961,"Zhuzhou Smelter Group Co., Ltd. Class A",24.3,26070808288.0,10.479106472896632,4.44859402460457,53.679940778415,27.0892523869734,2803095330.0,,1335391190.83,23.464480803310217,148.52706859556076,148.54233654876742,0.0,50519595.666666664,Non-Energy Minerals,Other Metals/Minerals,SSE:600961,A,1227626174.7,0.1952145684391354,42.45203573520797,0.2468457941159625,1.0,0.1952145684391354,20.91638865540968,cyclical,True,True,review_high_roa_supports_follow_up,0.0,0.1952145684391354,priority
300475,"Shannon Semiconductor Technology Co., Ltd. Class A",167.65,78718676310.0,19.60887516521048,11.026297373945711,77.9614056590267,19.9506304444328,7672637730.0,,15196569807.19,133.214121466672,1416.8762174718536,1383.550234252993,0.0698938264240978,29552474.30000002,Producer Manufacturing,Electrical Products,SZSE:300475,A,4954472316.395003,0.2515202874993324,56.231156968698855,0.3487190415826902,1.0,0.2515202874993324,27.873084773981148,cyclical,True,True,review_high_roa_supports_follow_up,0.0,0.2515202874993324,priority
600066,"Yutong Bus Co., Ltd. Class A",26.67,57739143739.0,10.762277551349824,4.550286035040785,41.9633760115753,17.8256609207609,6742100450.0,,244309885.36999995,13.520491965018078,25.31845967123254,25.32112875493071,9.37382827146607,19128972.29999998,Consumer Durables,Motor Vehicles,SSE:600066,A,510169691.24099946,0.2564683439287899,42.27995434358669,0.2545479936872808,1.0,0.2564683439287899,0.7544157837159338,cyclical,True,True,review_high_roa_supports_follow_up,0.0,0.2564683439287899,priority
000807,Yunnan Aluminium Co. Ltd. Class A,27.29,94640563883.0,8.626793955870266,2.4800298076136644,31.873035672668497,23.0309853020037,12728817110.0,,2188432237.63,11.9986366276838,135.39154029176737,135.38953791204702,2.56137779406376,77991675.43333355,Non-Energy Minerals,Aluminum,SZSE:000807,A,2128392822.5756724,0.2706611960174174,28.747989349230732,0.3000833850003186,1.0,0.2706611960174174,9.804671119285736,cyclical,True,False,not_triggered,0.0,0.2706611960174174,priority
000612,"Jiaozuo Wanfang Aluminum Manufacturing Co., Ltd. Class A",10.61,12649234597.0,7.165045921123717,1.5624723879761786,23.9851342465253,20.5343293820202,1793464910.0,,299027706.75,11.182665610819305,130.76432822633265,130.76203833567084,3.0631479736098,35970062.999999985,Non-Energy Minerals,Aluminum,SZSE:000612,A,381642368.4299998,0.2987286144609222,21.806871933224553,0.3285682578897151,1.0,0.2987286144609222,9.08171824644386,cyclical,True,False,not_triggered,0.0,0.2987286144609222,priority
002611,"Guangdong Dongfang Precision Science & Technology Co., Ltd. Class A",13.96,16695538351.0,4.020158387329014,1.7652630128082731,56.30350236235601,41.1593284611644,841444720.0,,383526407.31,-0.3179942177376986,468.563774839886,466.75371307328214,1.73352435530086,21866826.03333352,Producer Manufacturing,Industrial Machinery,SZSE:002611,A,305260891.42533594,0.0714015686174587,43.91028518607972,0.0915539120343374,1.0,0.0714015686174587,22.011449832226205,cyclical,True,True,review_high_roa_supports_follow_up,0.2299999999999999,0.3014015686174587,priority
000933,Henan Shenhuo Coal Industary and Electricity Power Corporation Limited Class A,27.15,60530367362.0,8.811216045175737,2.1908765927229004,27.513984105269103,11.91854215424,10772467400.0,,14555494887.87,12.741427207519704,75.24903223916701,76.54844439351402,2.94659300184162,48092689.83333323,Non-Energy Minerals,Aluminum,SZSE:000933,A,1305716528.9749973,0.3202450074647071,24.864633683819793,0.354367418286539,1.0,0.3202450074647071,9.629105008249027,cyclical,True,False,not_triggered,0.0,0.3202450074647071,priority
601899,"Zijin Mining Group Co., Ltd. Class A",32.26,840103507840.571,13.094126719974025,4.224641998913064,39.5141698448175,13.733808590563,69114516800.0,,173229052074.0,17.01668940250069,68.05463320035699,65.79407806191115,2.47985120892746,257392438.4999999,Non-Energy Minerals,Precious Metals,SSE:601899,A,8303480066.009997,0.3313780036730643,32.26364070899602,0.4058477726700883,1.0,0.3313780036730643,18.34918755549265,cyclical,True,False,not_triggered,0.0,0.3313780036730643,priority
002259,"Sichuan Shengda Forestry Industry Co., Ltd. Class A",4.21,3167301949.0,15.28130671506352,6.728464120185392,56.11051975671361,25.3731596909565,14477040.0,,37482650.82,-0.8106703553605343,198.32393132357865,198.4832069339112,0.0,15845246.866666676,Utilities,Gas Distributors,SZSE:002259,A,66708489.308666706,0.2723429898942455,44.03068563209206,0.3470603851765969,1.0,0.2723429898942455,21.528644141950227,cyclical,True,True,review_high_roa_supports_follow_up,0.08,0.3523429898942455,priority
600989,"Ningxia Baofeng Energy Group Co., Ltd. Class A",23.97,175780630887.0,11.318349230333364,3.149339387632832,30.7483014005767,16.6197878112591,12334037720.0,,27734987593.34,42.437252840155466,75.53613281422017,76.6157951797181,3.22110972048394,72258253.76666667,Process Industries,Chemicals: Specialty,SSE:600989,A,1732030342.787,0.3680967310318183,27.825076992610818,0.4067679393425955,1.0,0.3680967310318183,9.506945993156757,cyclical,True,False,not_triggered,0.0,0.3680967310318183,priority
002170,"Shenzhen Batian Ecological Technique Co., Ltd. Class A",11.4,11078870174.0,10.441472797215608,2.876884485517158,28.1424419779659,17.0547011318505,1261128780.0,,1310188461.02,19.7079912720043,48.02381165345126,43.41258373834233,6.40350877192982,20750959.83333335,Process Industries,Chemicals: Agricultural,SZSE:002170,A,236560942.1000002,0.3710222732409202,27.55247790603187,0.3789667424043094,1.0,0.3710222732409202,2.096349962792654,cyclical,True,False,not_triggered,0.0,0.3710222732409202,priority
002532,"Tianshan Aluminum Group Co., Ltd. Class A",13.22,61191908404.0,8.779969449425517,1.8897403679704736,23.0433108774827,12.9169761426576,7289359630.0,,13565658503.74,6.929436125348134,54.74782417100479,55.43511923196037,6.42965204236006,85383710.3,Non-Energy Minerals,Aluminum,SZSE:002532,A,1128772650.166,0.3810203098030095,21.52331370690727,0.4079283315286086,1.0,0.3810203098030095,6.596262050436186,cyclical,True,False,not_triggered,0.0,0.3810203098030095,priority
000792,"Qinghai Salt Lake Industry Co., Ltd. Class A",25.45,130131905732.0,11.103355001963264,2.820241465860672,27.9376308241854,21.9258337946868,9003523450.0,,1302593856.42,48.33508368601865,144.2435505117396,145.43312988542672,0.0,59238040.66666678,Process Industries,Chemicals: Agricultural,SZSE:000792,A,1507608134.9666696,0.3974336647168797,25.399903590959713,0.4371416199357208,1.0,0.3974336647168797,9.083544876070135,cyclical,True,False,not_triggered,0.0,0.3974336647168797,priority
002452,Changgao Electric Group Co. Ltd. Class A,11.81,7326122270.0,9.255485893416928,2.2898735625275086,29.1200158245745,19.9528230653176,508858620.0,,784437167.3299999,-3.3616748074005285,246.7307620194464,228.0205655526992,1.01608806096528,14245241.466666669,Producer Manufacturing,Electrical Products,SZSE:002452,A,168236301.72133335,0.3178393153758586,24.740716899111774,0.3740993412260099,1.0,0.3178393153758586,15.038793082547077,cyclical,True,False,not_triggered,0.08,0.3978393153758586,priority
002648,Satellite Chemical Co. Ltd. Class A,27.22,91636243903.0,10.390106114970608,2.4013818973563623,25.4290158398774,11.7413070343298,12548159240.0,,26766214478.33,7.268363633239024,30.09342090629934,30.481123617890233,1.83688464364438,46826031.733333275,Process Industries,Chemicals: Specialty,SZSE:002648,A,1274604583.7813318,0.4085925377684888,23.112197996672297,0.4495507574167796,1.0,0.4085925377684888,9.110922175650648,cyclical,True,False,not_triggered,0.0,0.4085925377684888,priority
603271,"Yong Jie New Material Co., Ltd. Class A",38.41,7610365042.0,10.171062387458957,2.2446682554468707,24.2975812058612,12.3066832678416,284932410.0,,3283407452.18,46.01093684339146,110.22879275763552,110.04505256132155,1.65321530851341,1874095.066666667,Non-Energy Minerals,Aluminum,SSE:603271,A,71983991.51066665,0.4186039055198397,22.06916219700485,0.4608721571152047,1.0,0.4186039055198397,9.171361502925224,cyclical,True,False,not_triggered,0.0,0.4186039055198397,priority
002192,"YOUNGY Co., Ltd. Class A",60.94,15823388287.0,13.241780926098954,3.479625292205159,30.0705631930238,22.6263822190295,327076840.0,,181821355.69,235.61857431040752,787.3280335611763,787.2373240794293,0.36101083032491,18698779.8,Non-Energy Minerals,Construction Materials,SZSE:002192,A,1139503641.012,0.4403569311655251,26.277623165830924,0.5039185181450271,1.0,0.4403569311655251,12.613465211296138,cyclical,True,False,not_triggered,0.0,0.4403569311655251,priority
