name,description,close,market_cap_basic,price_earnings_ttm,price_book_fq,return_on_equity,return_on_assets,free_cash_flow_ttm,cash_n_short_term_inv,total_debt,total_revenue_yoy_growth_ttm,net_income_yoy_growth_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,average_volume_30d_calc,sector,industry,symbol,market
NVDA,NVIDIA Corporation,218.29,5260788838196.001,27.594619877126892,23.019280980963668,117.21070142655302,83.6763468196056,127006000000.0,,38860000000.0,83.37529809100704,122.73173435569362,125.14871211043119,0.128269732924092,125341288.06666681,Electronic Technology,Semiconductors,NASDAQ:NVDA,US
AAPL,Apple Inc.,332.27,4849207924429.0,38.08994302614836,45.14617785368491,148.751081626767,36.0763947669221,136683000000.0,,84344000000.0,14.242398286937902,29.865028203062042,32.60922440789274,0.319017666355675,47350543.80000043,Electronic Technology,Telecommunications Equipment,NASDAQ:AAPL,US
GOOGM,Alphabet Inc. - Depositary Shares representing a 1/20th Interest in a Share of Series A Mandatory Convertible Preferred Stock,48.17,4122997717468.0,2.4199585035141395,0.9464414724090796,48.675697331861,34.2975879823263,53273000000.0,,117348446000.0,20.231187401337234,111.2993519247575,112.01789423230548,0.251107828655835,1107374.9,Technology Services,Internet Software/Services,NASDAQ:GOOGM,US
GOOGL,Alphabet Inc.,338.5,4122997717468.0,17.00552114261026,6.650829113773582,48.675697331861,34.2975879823263,53273000000.0,,117348446000.0,20.231187401337234,111.2993519247575,112.01789423230548,0.251107828655835,25405453.766666703,Technology Services,Internet Software/Services,NASDAQ:GOOGL,US
GOOG,Alphabet Inc.,335.45,4122997717468.0,16.85229561975956,6.590902883944898,48.675697331861,34.2975879823263,53273000000.0,,117348446000.0,20.231187401337234,111.2993519247575,112.01789423230548,0.253390967357281,16895253.23333333,Technology Services,Internet Software/Services,NASDAQ:GOOG,US
GOOGN,Alphabet Inc. - Depositary Shares representing a 1/20th Interest in a Share of Series B Mandatory Convertible Preferred Stock,48.01,4122997717468.0,2.411920443299021,0.9432978013360994,48.675697331861,34.2975879823263,53273000000.0,,117348446000.0,20.231187401337234,111.2993519247575,112.01789423230548,0.251107828655835,1364992.1333333333,Technology Services,Internet Software/Services,NASDAQ:GOOGN,US
MSFT,Microsoft Corporation,495.63,3680323107893.0,27.618776956768865,8.320867896589759,34.0386274504814,19.4207984875622,66987000000.0,,128813000000.0,17.78868679984666,31.34279990572708,31.54908515130189,0.734418820491092,26634142.866666667,Technology Services,Packaged Software,NASDAQ:MSFT,US
AMZN,"Amazon.com, Inc.",256.78,2769709812106.9995,20.65376510142689,5.019503894425824,30.558338368750697,15.2184172085638,-11625000000.0,,241995000000.0,15.766568463281185,91.55374311484927,89.7295812477109,0.0,38931165.1,Retail Trade,Internet Retail,NASDAQ:AMZN,US
SPCX,Space Exploration Technologies Corp,151.21,2052081477520.0,,15.6601151232324,,,,,39708000000.0,,,,0.0,104836615.53333333,Communications,Specialty Telecommunications,NASDAQ:SPCX,US
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,433.24,1973280582023.078,31.26957776975821,11.12801792647556,40.0598729301554,26.904628394313402,39903628640.0,,33542791580.996098,34.599355140412875,57.79950265759371,57.778461047908635,0.637427061213184,9849231.366666663,Electronic Technology,Semiconductors,NYSE:TSM,US
AVGO,Broadcom Inc.,361.99,1728006234662.0,46.21227595363326,17.33514160137076,44.2454341001463,21.6327603605743,39403000000.0,,59419000000.0,48.69005106297767,102.11810690893725,100.12263042256397,0.70167684190171,22781322.8,Electronic Technology,Semiconductors,NASDAQ:AVGO,US
META,"Meta Platforms, Inc.",648.03,1650860474630.0002,24.410024220553947,6.321009301402789,29.848495806404202,18.2887068618236,40976000000.0,,112318000000.0,27.65206594930762,-4.767365432754835,-3.857269092594742,0.32405907133929,17316531.933333334,Technology Services,Internet Software/Services,NASDAQ:META,US
TSLA,"Tesla, Inc.",365.44,1443322687299.0,339.53358728978907,16.614730478919242,4.6366006383549,2.74711195960894,5762000000.0,,16080000000.0,11.75474547023296,-37.2154404486968,-37.67083622886263,0.0,36805602.366666675,Consumer Durables,Motor Vehicles,NASDAQ:TSLA,US
MU,"Micron Technology, Inc.",975.26,1101451892973.0,22.07864240097256,10.931541621312862,66.6380585190662,47.4982236046473,26172000000.0,,6376000000.0,166.98015556147044,710.7469879518072,697.287150515315,0.0543444824969752,29740854.566666666,Electronic Technology,Semiconductors,NASDAQ:MU,US
LLY,Eli Lilly and Company,1115.7,1050272021040.0,37.911454988429824,31.005386550215135,102.429633436174,21.9645435795886,18190100000.0,,54908000000.0,49.58438246952107,93.54850397466649,95.1428306190653,0.59962355471901,2700677.2666666666,Health Technology,Pharmaceuticals: Major,NYSE:LLY,US
BRK.A,Berkshire Hathaway Inc.,766000.0,982669128678.0,12.84000234003176,1.466321582142255,12.1149884278469,7.06770678180285,24215000000.0,,129370000000.0,3.927045989339486,36.317111160558184,36.30277029708534,0.0,150.93333333333334,Finance,Property/Casualty Insurance,NYSE:BRK.A,US
BRK.B,Berkshire Hathaway Inc. New,510.37,982669128678.0,12.832555976012973,1.4654697347780314,12.1149884278469,7.06770678180285,24215000000.0,,129370000000.0,3.927045989339486,36.317111160558184,36.302726637147536,0.0,4148475.6666666665,Finance,Property/Casualty Insurance,NYSE:BRK.B,US
SKHY,SK hynix Inc.,190.07,973359030090.8201,12.345414393348921,7.980554771789807,93.7000394644496,68.3167007146447,62528879780.0,,13627534370.3608,134.0537715627112,433.4728336552657,433.67534403272214,0.0,21445059.933333334,Electronic Technology,Semiconductors,NASDAQ:SKHY,US
JPM,JP Morgan Chase & Co.,356.23,946925727478.0001,15.260677719230605,2.678275257797997,17.7104721389104,1.3541187290248,153745000000.0,,1276819000000.0,8.204007259475325,15.191606650662399,19.772185022704537,1.68430508379418,5594168.1,Finance,Major Banks,NYSE:JPM,US
JPM/PD,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 5.75% Non-Cumulative Preferred Stock, Series DD",22.62,946925727478.0,0.9690271173371032,0.17006593024560168,17.7104721389104,1.3541187290248,153745000000.0,,1276819000000.0,8.204007259475325,15.191606650662399,19.772185022704537,1.68430508379418,209062.7,Finance,Major Banks,NYSE:JPM/PD,US
