name,description,close,market_cap_basic,price_earnings_ttm,price_book_fq,return_on_equity,return_on_assets,free_cash_flow_ttm,cash_n_short_term_inv,total_debt,total_revenue_yoy_growth_ttm,net_income_yoy_growth_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,average_volume_30d_calc,sector,industry,symbol,market,traded_value_30d,quick_pr_roe,implied_roe_from_pe_pb,quick_pr_pe_pb,market_pr_factor,market_normalized_quick_pr,pr_path_gap_percent,model,fcf_positive,extreme_roe_review_required,roe_reliability_precheck,rank_penalty,screen_rank,stage1_tier,history_type,cycle_phase_status,history_years,history_status,historical_neutral_roe,historical_neutral_roa,historical_bear_roe,historical_bear_roa,bear_anchor_source,historical_neutral_pr,historical_bear_pr,historical_pr_path,weak_years,market_normalized_neutral_pr,market_normalized_bear_pr,stage2_rank,stage2_tier
ATMU,Atmus Filtration Technologies Inc.,45.41,3705252551.999999,17.367193177037517,8.146840475498479,55.7904292569057,13.4257092032581,190400000.0,,1056400000.0,13.050464175196383,14.111405835543769,15.536211391454197,0.495485575864347,664074.5666666667,Producer Manufacturing,Auto Parts: OEM,NYSE:ATMU,US,30155626.072333332,0.3112934137334643,46.9093675209995,0.3702286791494875,1.0,0.3112934137334643,15.918611586604516,cyclical,True,True,review_high_roa_supports_follow_up,0.0,0.3112934137334643,priority,cyclical,provisional_equal_weight,4,short_history,80.12180123361,16.90570952924,55.31211801026666,18.298095788766666,weak_history,0.12690765054121605,0.2662861844722056,pb,"2022,2023",0.12690765054121605,0.2662861844722056,0.20356584420326032,cycle_research_required
9973,"Chery Automobile Co.,Ltd. Class H",24.94,144866600122.0,6.9476557929632,2.3159239738061013,41.0295361454599,6.77288478031003,,,16952160432.6937,,,,3.94775862068966,2181323.466666667,Consumer Durables,Motor Vehicles,HKEX:9973,HK,54402207.25866667,0.1693330328749522,33.333890492268495,0.2084261899934737,0.8,0.2116662910936902,18.75635548476208,cyclical,False,True,review_possible_equity_or_leverage_distortion,0.25,0.4616662910936902,watch,cyclical,provisional_equal_weight,4,short_history,66.0954883304095,7.470206933354101,41.0295361454599,6.77288478031003,current_ttm,0.05301279073210444,0.13757232727579713,pb,"2024,2025",0.06626598841513054,0.1719654090947464,0.27440066978891925,cycle_research_required
HAFN,Hafnia Limited,9.38,4622047177.982629,7.33823833074749,1.771970138922286,25.8610077053471,16.7647363703509,520347642.87779987,,883908344.1641848,5.066237788199953,39.92808080646917,41.71142138193912,7.99528595600677,1573253.566666667,Transportation,Marine Shipping,NYSE:HAFN,US,14757118.455333335,0.2837568595298865,24.14707807318911,0.3038975692423529,1.0,0.2837568595298865,6.627466538373161,cyclical,True,False,not_triggered,0.0,0.2837568595298865,priority,cyclical,provisional_equal_weight,2,short_history,21.354944271566666,12.802702347866665,21.354944271566666,12.802702347866665,weak_history,0.38856127370543214,0.38856127370543214,pb,"2024,2025",0.38856127370543214,0.38856127370543214,0.38856127370543214,cycle_research_required
000651,"Gree Electric Appliances, Inc. of Zhuhai Class A",38.74,206552855170.0,7.743508764916348,1.4569463697815634,19.6322235112199,6.96422965064431,44372749650.0,,106263968359.09,-12.915115176127786,-14.148026898616642,-15.137482401234871,7.74393391843056,42839776.19999998,Producer Manufacturing,Industrial Machinery,SZSE:000651,A,1659612929.9879994,0.3944285149611759,18.815067097006153,0.4115589237600163,1.0,0.3944285149611759,4.162322284822895,cyclical,True,False,not_triggered,0.18,0.5744285149611759,priority,cyclical,provisional_equal_weight,10,usable,24.99328571428571,8.382754457614285,19.6322235112199,6.96422965064431,current_ttm,0.23323668376025095,0.37801112898525085,pb,"2020,2021,2022,2025",0.23323668376025095,0.37801112898525085,0.44286262863400094,cycle_research_required
OGC,OceanaGold Corporation,30.19,6715690148.298067,8.176856273671985,2.651322413226881,37.6100485264861,26.9038269395039,705945475.8399999,,50039880.0,49.39741703752898,118.47789178000195,128.69531122729933,0.98648913303081,539127.3000000003,Non-Energy Minerals,Precious Metals,NYSE:OGC,US,16276253.187000008,0.2174114789539184,32.424715862545675,0.2521797356169652,1.0,0.2174114789539184,13.787093787684878,cyclical,True,False,not_triggered,0.0,0.2174114789539184,priority,cyclical,provisional_equal_weight,2,short_history,24.02623846846667,17.123880769333333,24.02623846846667,17.123880769333333,weak_history,0.4592942163736625,0.4592942163736625,pb,"2024,2025",0.4592942163736625,0.4592942163736625,0.4592942163736625,cycle_research_required
ECO,Okeanis Eco Tankers Corp.,76.15,2920258323.9999995,7.10096140396684,3.388273946954269,61.5919910455297,29.4350134271386,44692060.0,,722493783.004812,105.24219735077509,498.5632077171379,413.8920835729346,12.5410374261326,573571.1333333333,Transportation,Marine Shipping,NYSE:ECO,US,43677441.803333335,0.1152903369971869,47.71570713032553,0.1488181110796921,1.0,0.1152903369971869,22.52936409369625,cyclical,True,True,review_high_roa_supports_follow_up,0.0,0.1152903369971869,priority,cyclical,provisional_equal_weight,3,short_history,27.19818680348333,10.7620197568,25.640939505720002,10.401941284000001,weak_history,0.4580349437583593,0.5153599297993638,pb,"2024,2025",0.4580349437583593,0.5153599297993638,0.48956368608091183,cycle_research_required
HON,Honeywell International Inc.,202.36,64135979087.00001,7.4825932458466,3.459889914769692,49.8960498960499,11.0937770844167,4148000000.0,,34955000000.0,-2.4080418094071168,50.83085534371173,53.73390557939914,3.87428345522831,2912449.5333333304,Producer Manufacturing,Industrial Machinery,NASDAQ:HON,US,589363287.5653328,0.1499636396355089,46.239182073543695,0.1618236506421219,1.0,0.1499636396355089,7.328972594272876,cyclical,True,True,review_high_roa_supports_follow_up,0.08,0.2299636396355089,priority,cyclical,provisional_equal_weight,10,usable,29.925779456095714,8.09824748074857,23.59775082477619,7.047545476990476,weak_history,0.3863414796969001,0.6213281908929144,pb,"2016,2017,2020,2022",0.3863414796969001,0.6213281908929144,0.565584170854708,cycle_research_required
603271,"Yong Jie New Material Co., Ltd. Class A",38.41,7610365042.0,10.171062387458957,2.2446682554468707,24.2975812058612,12.3066832678416,284932410.0,,3283407452.18,46.01093684339146,110.22879275763552,110.04505256132155,1.65321530851341,1874095.066666667,Non-Energy Minerals,Aluminum,SSE:603271,A,71983991.51066665,0.4186039055198397,22.06916219700485,0.4608721571152047,1.0,0.4186039055198397,9.171361502925224,cyclical,True,True,not_triggered,0.0,0.4186039055198397,priority,cyclical,provisional_equal_weight,7,short_history,26.145,9.09371031017857,16.95,8.543544233061537,weak_history,0.32837861922377315,0.7812908886789607,pb,"2019,2023,2025",0.32837861922377315,0.7812908886789607,0.5774803674241263,cycle_research_required
2510,T.S. Lines Limited,13.63,22694372800.0,7.7899068411727725,1.3232958318608474,17.8216748712375,14.3158259525383,1337693420.0,,1309951716.1,,,,5.72267057960381,4279635.166666667,Transportation,Marine Shipping,HKEX:2510,HK,58331427.32166667,0.4371029601569572,16.98731267063041,0.4585720526967662,0.8,0.5463787001961965,4.681727203730313,cyclical,True,True,not_triggered,0.0,0.5463787001961965,priority,cyclical,provisional_equal_weight,6,short_history,31.518152664668523,22.368434118456904,13.218335573677534,11.1710598898074,weak_history,0.13320957263059158,0.7573618035983593,pb,"2023,2024,2025",0.16651196578823946,0.946702254497949,0.5956166245785798,cycle_research_required
1882,Haitian International Holdings Limited,17.51,27945960365.0,7.889875185869419,1.0409297625063163,14.017008583516304,9.01325015859404,2419436530.0,,4147737609.16821,7.743758989509695,0.3293853329564221,0.3300180831826338,4.56881781838949,3168087.7,Producer Manufacturing,Industrial Machinery,HKEX:1882,HK,55473215.62700001,0.5628786726397343,13.193234848259667,0.5980243114455117,0.8,0.7035983407996679,5.876958199379089,cyclical,True,False,not_triggered,0.0,0.7035983407996679,watch,cyclical,provisional_equal_weight,9,short_history,15.639588644366068,10.069409755270778,14.017008583516304,9.01325015859404,current_ttm,0.4255697735158767,0.529798528335477,pb,"2019,2022,2023,2025",0.5319622168948459,0.6622481604193462,0.603619485833321,cycle_research_required
002043,"Dehua TB New Decoration Material Co., Ltd. Class A",11.18,8633742953.0,13.406883319342846,2.7805066092990285,21.3995339759719,11.6527759847516,864199750.0,,62661349.09,6.7916460426424745,11.951226743418204,11.260840560373572,6.90518783542039,13212703.399999952,Non-Energy Minerals,Forest Products,SZSE:002043,A,147718024.01199946,0.6265035179923327,20.739395898877103,0.6464452187861817,1.0,0.6265035179923327,3.0848245472823055,cyclical,True,False,not_triggered,0.0,0.6265035179923327,watch,cyclical,provisional_equal_weight,10,usable,22.65057142857143,11.576313644032856,18.895384615384618,10.474926621773076,weak_history,0.5419579682836817,0.778775820297083,pb,"2016,2018,2022,2024",0.5419579682836817,0.778775820297083,0.6722077868910525,cycle_research_required
001395,Yalian Machinery Co Ltd. Class A,28.29,3180291185.0,13.039870938004146,2.5282631038026717,20.6972447107652,11.4080874754737,116701380.0,,126709496.11,17.665803640657813,43.61507870868305,43.618429763008095,2.71908801696713,1799640.966666666,Producer Manufacturing,Industrial Machinery,SZSE:001395,A,50911842.94699998,0.630029316473306,19.388712632378567,0.6725496006489855,1.0,0.630029316473306,6.3222525349281415,cyclical,True,False,not_triggered,0.0,0.630029316473306,watch,cyclical,provisional_equal_weight,7,short_history,21.034642857142856,8.610928926425,17.536923076923074,8.297097359846154,weak_history,0.5714154537949351,0.8220826315603251,pb,"2020,2022,2025",0.5714154537949351,0.8220826315603251,0.7092824015658996,cycle_research_required
601225,"Shaanxi Coal Industry Co., Ltd. Class A",26.05,252554742603.0,12.381178707224334,2.497107477231269,21.4608442934815,8.42614506650608,24770619580.0,,27281909185.72,-10.316478099847764,4.919085902995427,4.9167248429241175,3.63915547024952,39677875.233333334,Energy Minerals,Coal,SSE:601225,A,1033608649.8283334,0.5769194602928546,20.168576322819924,0.613884614811187,1.0,0.5769194602928546,6.0215150577933585,cyclical,True,False,not_triggered,0.08,0.6569194602928545,priority,cyclical,provisional_equal_weight,10,usable,21.574142857142856,15.598164823922858,18.04741935483871,12.849286627241936,weak_history,0.5365005045770481,0.7666674330142867,pb,"2016,2020,2023,2025",0.5365005045770481,0.7666674330142867,0.7130923152175295,cycle_research_required
605117,"Ningbo Deye Technology Co., Ltd. Class A",85.5,108861246826.0,24.923480542195016,9.477926961210336,41.8470660899571,20.0431218379796,5497295390.0,,6684821507.4,44.70984142649557,34.47293187612156,33.544845842416684,1.99976374269006,14602762.89999999,Producer Manufacturing,Electrical Products,SSE:605117,A,1248536227.949999,0.5955848968866282,38.02810343910182,0.6553963592243685,1.0,0.5955848968866282,9.125998564978966,cyclical,True,True,review_high_roa_supports_follow_up,0.0,0.5955848968866282,priority,cyclical,provisional_equal_weight,10,usable,40.346,21.494771937008572,32.949642857142855,19.975317798110716,weak_history,0.5822538773074917,0.8729953579171079,pb,"2016,2018,2021,2025",0.5822538773074917,0.8729953579171079,0.7421616916427807,cycle_research_required
1585,Yadea Group Holdings Ltd.,8.56,25562324241.0,9.510054438395734,2.1953390080453024,25.0412255172972,8.03549668944405,2997915420.0,,9026682180.3652,13.191990450510808,35.52397569544348,35.069027611044426,6.19158878504673,11317676.466666669,Consumer Durables,Motor Vehicles,HKEX:1585,HK,96879310.55466668,0.3797759191868095,23.084400013336175,0.4119688808416786,0.8,0.4747198989835119,7.814415882359072,cyclical,True,False,not_triggered,0.0,0.4747198989835119,priority,cyclical,provisional_equal_weight,9,short_history,27.931104937031865,8.220591270911422,15.802182271155713,5.3714126151925,weak_history,0.2814008217575138,0.8791590691067385,pb,"2017,2018,2019,2024",0.3517510271968922,1.098948836383423,0.7627098222494842,cycle_research_required
1308,"SITC International Holdings Co., Ltd.",45.36,122994926264.0,12.357316043261504,5.538292481914471,46.8477884433946,36.305923077423,10141048770.0,,2567518538.2,5.186015981809692,-2.638012178355432,-3.1426460499234783,5.0705467372134,5720660.6,Transportation,Marine Shipping,HKEX:1308,HK,259489164.816,0.2637758676312467,44.817923750801256,0.2757226352557347,0.8,0.3297198345390584,4.332893312660846,cyclical,True,True,review_high_roa_supports_follow_up,0.1,0.4297198345390584,priority,cyclical,provisional_equal_weight,9,short_history,51.980144442728204,34.198480244522976,23.648740758789227,15.92335206863046,weak_history,0.20497501341188326,0.9902841921010201,pb,"2017,2018,2019,2023",0.25621876676485406,1.237855240126275,0.8761188271136355,cycle_research_required
