name,description,close,market_cap_basic,price_earnings_ttm,price_book_fq,return_on_equity,return_on_assets,free_cash_flow_ttm,cash_n_short_term_inv,total_debt,total_revenue_yoy_growth_ttm,net_income_yoy_growth_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,average_volume_30d_calc,sector,industry,symbol,market,traded_value_30d,quick_pr_roe,implied_roe_from_pe_pb,quick_pr_pe_pb,market_pr_factor,market_normalized_quick_pr,pr_path_gap_percent,model,fcf_positive,extreme_roe_review_required,roe_reliability_precheck,rank_penalty,screen_rank,stage1_tier,history_type,cycle_phase_status,history_years,history_status,historical_neutral_roe,historical_neutral_roa,historical_bear_roe,historical_bear_roa,bear_anchor_source,historical_neutral_pr,historical_bear_pr,historical_pr_path,weak_years,market_normalized_neutral_pr,market_normalized_bear_pr,stage2_rank,stage2_tier
9973,"Chery Automobile Co.,Ltd. Class H",24.94,144866600122.0,6.9476557929632,2.3159239738061013,41.0295361454599,6.77288478031003,,,16952160432.6937,,,,3.94775862068966,2181323.466666667,Consumer Durables,Motor Vehicles,HKEX:9973,HK,54402207.25866667,0.1693330328749522,33.333890492268495,0.2084261899934737,0.8,0.2116662910936902,18.75635548476208,cyclical,False,True,review_possible_equity_or_leverage_distortion,0.25,0.4616662910936902,watch,cyclical,provisional_equal_weight,4,short_history,66.0954883304095,7.470206933354101,41.0295361454599,6.77288478031003,current_ttm,0.05301279073210444,0.13757232727579713,pb,"2024,2025",0.06626598841513054,0.1719654090947464,0.27440066978891925,cycle_research_required
000651,"Gree Electric Appliances, Inc. of Zhuhai Class A",38.74,206552855170.0,7.743508764916348,1.4569463697815634,19.6322235112199,6.96422965064431,44372749650.0,,106263968359.09,-12.915115176127786,-14.148026898616642,-15.137482401234871,7.74393391843056,42839776.19999998,Producer Manufacturing,Industrial Machinery,SZSE:000651,A,1659612929.9879994,0.3944285149611759,18.815067097006153,0.4115589237600163,1.0,0.3944285149611759,4.162322284822895,cyclical,True,False,not_triggered,0.18,0.5744285149611759,priority,cyclical,provisional_equal_weight,10,usable,24.99328571428571,8.382754457614285,19.6322235112199,6.96422965064431,current_ttm,0.23323668376025095,0.37801112898525085,pb,"2020,2021,2022,2025",0.23323668376025095,0.37801112898525085,0.44286262863400094,cycle_research_required
ECO,Okeanis Eco Tankers Corp.,76.15,2920258323.9999995,7.10096140396684,3.388273946954269,61.5919910455297,29.4350134271386,44692060.0,,722493783.004812,105.24219735077509,498.5632077171379,413.8920835729346,12.5410374261326,573571.1333333333,Transportation,Marine Shipping,NYSE:ECO,US,43677441.803333335,0.1152903369971869,47.71570713032553,0.1488181110796921,1.0,0.1152903369971869,22.52936409369625,cyclical,True,True,review_high_roa_supports_follow_up,0.0,0.1152903369971869,priority,cyclical,provisional_equal_weight,3,short_history,27.19818680348333,10.7620197568,25.640939505720002,10.401941284000001,weak_history,0.4580349437583593,0.5153599297993638,pb,"2024,2025",0.4580349437583593,0.5153599297993638,0.48956368608091183,cycle_research_required
2510,T.S. Lines Limited,13.63,22694372800.0,7.7899068411727725,1.3232958318608474,17.8216748712375,14.3158259525383,1337693420.0,,1309951716.1,,,,5.72267057960381,4279635.166666667,Transportation,Marine Shipping,HKEX:2510,HK,58331427.32166667,0.4371029601569572,16.98731267063041,0.4585720526967662,0.8,0.5463787001961965,4.681727203730313,cyclical,True,True,not_triggered,0.0,0.5463787001961965,priority,cyclical,provisional_equal_weight,6,short_history,31.518152664668523,22.368434118456904,13.218335573677534,11.1710598898074,weak_history,0.13320957263059158,0.7573618035983593,pb,"2023,2024,2025",0.16651196578823946,0.946702254497949,0.5956166245785798,cycle_research_required
1882,Haitian International Holdings Limited,17.51,27945960365.0,7.889875185869419,1.0409297625063163,14.017008583516304,9.01325015859404,2419436530.0,,4147737609.16821,7.743758989509695,0.3293853329564221,0.3300180831826338,4.56881781838949,3168087.7,Producer Manufacturing,Industrial Machinery,HKEX:1882,HK,55473215.62700001,0.5628786726397343,13.193234848259667,0.5980243114455117,0.8,0.7035983407996679,5.876958199379089,cyclical,True,False,not_triggered,0.0,0.7035983407996679,watch,cyclical,provisional_equal_weight,9,short_history,15.639588644366068,10.069409755270778,14.017008583516304,9.01325015859404,current_ttm,0.4255697735158767,0.529798528335477,pb,"2019,2022,2023,2025",0.5319622168948459,0.6622481604193462,0.603619485833321,cycle_research_required
1585,Yadea Group Holdings Ltd.,8.56,25562324241.0,9.510054438395734,2.1953390080453024,25.0412255172972,8.03549668944405,2997915420.0,,9026682180.3652,13.191990450510808,35.52397569544348,35.069027611044426,6.19158878504673,11317676.466666669,Consumer Durables,Motor Vehicles,HKEX:1585,HK,96879310.55466668,0.3797759191868095,23.084400013336175,0.4119688808416786,0.8,0.4747198989835119,7.814415882359072,cyclical,True,False,not_triggered,0.0,0.4747198989835119,priority,cyclical,provisional_equal_weight,9,short_history,27.931104937031865,8.220591270911422,15.802182271155713,5.3714126151925,weak_history,0.2814008217575138,0.8791590691067385,pb,"2017,2018,2019,2024",0.3517510271968922,1.098948836383423,0.7627098222494842,cycle_research_required
1308,"SITC International Holdings Co., Ltd.",45.36,122994926264.0,12.357316043261504,5.538292481914471,46.8477884433946,36.305923077423,10141048770.0,,2567518538.2,5.186015981809692,-2.638012178355432,-3.1426460499234783,5.0705467372134,5720660.6,Transportation,Marine Shipping,HKEX:1308,HK,259489164.816,0.2637758676312467,44.817923750801256,0.2757226352557347,0.8,0.3297198345390584,4.332893312660846,cyclical,True,True,review_high_roa_supports_follow_up,0.1,0.4297198345390584,priority,cyclical,provisional_equal_weight,9,short_history,51.980144442728204,34.198480244522976,23.648740758789227,15.92335206863046,weak_history,0.20497501341188326,0.9902841921010201,pb,"2017,2018,2019,2023",0.25621876676485406,1.237855240126275,0.8761188271136355,cycle_research_required
600989,"Ningxia Baofeng Energy Group Co., Ltd. Class A",23.97,175780630887.0,11.318349230333364,3.149339387632832,30.7483014005767,16.6197878112591,12334037720.0,,27734987593.34,42.437252840155466,75.53613281422017,76.6157951797181,3.22110972048394,72258253.76666667,Process Industries,Chemicals: Specialty,SSE:600989,A,1732030342.787,0.3680967310318183,27.825076992610818,0.4067679393425955,1.0,0.3680967310318183,9.506945993156757,cyclical,True,False,not_triggered,0.0,0.3680967310318183,priority,cyclical,provisional_equal_weight,10,usable,21.101142857142857,11.659696241202855,16.527142857142856,9.077385908453572,weak_history,0.7073062722499079,1.1529856514216725,pb,"2016,2020,2023,2024",0.7073062722499079,1.1529856514216725,0.9524299307943785,cycle_research_required
883,CNOOC Limited,24.38,1202135031692.0,7.458622694037385,1.1712397702679005,16.78691704247,11.8794110184119,150297336310.0,,78690939429.304,10.531513069035286,12.717803724573292,12.725454357347305,5.25020508613618,59296472.49999993,Energy Minerals,Integrated Oil,HKEX:883,HK,1445647999.5499983,0.4443116431187137,15.703164220979025,0.4749757812551471,0.8,0.5553895538983922,6.455937196503337,cyclical,True,False,not_triggered,0.0,0.5553895538983922,priority,cyclical,provisional_equal_weight,9,short_history,17.05218525811329,11.190575442209044,9.7737147622569,5.919066431633899,weak_history,0.4027965352632581,1.2261016871454342,pb,"2017,2018,2019,2020",0.5034956690790726,1.5326271089317927,1.0695179609980687,cycle_research_required
564,ZCZL Industrial Technology Group Company Limited Class H,12.38,27677689890.0,5.741848708315941,0.7897145736785198,14.7077940194998,6.63634662972856,932796680.0,,13790131779.707998,8.982631507688065,-18.28642253303251,-17.536143195899946,11.5694991922456,1242625.2666666666,Producer Manufacturing,Auto Parts: OEM,HKEX:564,HK,15383700.801333334,0.3903949634257399,13.75366391202146,0.4174777532041662,0.8,0.4879937042821748,6.4872414327624135,cyclical,True,False,not_triggered,0.1,0.5879937042821749,priority,cyclical,provisional_equal_weight,9,short_history,15.21529652526229,6.433951741191245,8.3251178564384,3.5043098099506995,weak_history,0.3411216718849224,1.139434518173933,pb,"2017,2018,2019,2020",0.42640208985615297,1.424293147717416,1.1552421716798478,cycle_research_required
